onset	duration	value	accuracy	response_time	trial_type
4.003	5.395	E	1	979	vowcon_na
9.505	7.393	e	0	679	vowcon_repeat
17.007	5.891	T	0	1718	vowcon_repeat
23.009	7.889	a	1	1178	vowcon_repeat
31.011	4.387	R	1	1933	upplow_switch
35.497	6.401	E	1	1245	upplow_repeat
41.998	8.4	T	1	2522	vowcon_switch
50.5	7.398	A	1	1634	vowcon_repeat
58.002	3.896	u	0	1610	upplow_switch
62.003	7.395	U	1	1864	vowcon_switch
69.506	5.392	F	0	1961	vowcon_repeat
75.007	3.391	t	1	1809	upplow_switch
78.508	4.39	I	1	1522	vowcon_switch
83.009	8.889	U	1	1320	upplow_switch
91.997	4.901	t	1	1132	vowcon_switch
96.997	6.901	M	1	2446	vowcon_repeat
103.999	5.899	R	1	1659	upplow_switch
110	4.898	M	1	2381	upplow_repeat
115.002	5.896	r	1	936	vowcon_switch
121.004	5.894	T	1	1040	upplow_switch
127.005	6.393	e	0	1372	upplow_repeat
133.507	6.891	I	1	1075	upplow_repeat
140.509	5.889	R	1	1983	upplow_repeat
146.511	3.887	A	1	999	vowcon_switch
150.497	8.401	R	1	1122	upplow_switch
158.998	5.9	F	1	909	upplow_repeat
165	6.898	+	NA	0	_fix
172.002	9.396	a	0	980	upplow_repeat
181.504	6.394	E	1	1091	vowcon_switch
188.006	6.392	r	1	1242	vowcon_repeat
194.508	4.39	f	1	1427	vowcon_repeat
199.009	6.389	i	0	1255	upplow_switch
205.511	8.887	m	1	1195	vowcon_switch
214.497	4.901	u	1	1715	vowcon_repeat
219.498	4.9	I	1	1351	vowcon_repeat
224.5	3.898	e	1	1068	vowcon_repeat
228.501	7.897	+	NA	0	_fix
236.503	3.395	a	0	881	upplow_switch
240.004	6.894	I	1	1672	upplow_repeat
247.006	4.392	r	1	1138	vowcon_switch
251.508	6.89	r	1	1006	upplow_switch
258.51	3.888	f	1	1219	upplow_repeat
262.511	8.887	u	1	1459	vowcon_switch
271.497	7.401	m	1	767	upplow_switch
278.999	5.399	r	1	1029	upplow_repeat
284.5	8.398	F	0	1652	vowcon_switch
293.003	5.895	R	1	1521	upplow_switch
299.005	9.393	u	0	1175	upplow_repeat
308.507	9.391	a	0	0	upplow_repeat
318.01	5.388	e	1	1377	vowcon_switch
323.512	6.386	m	1	1036	vowcon_repeat
329.997	7.401	E	1	1151	upplow_switch
337.499	7.899	+	NA	0	_fix
345.501	9.397	A	1	1146	upplow_repeat
355.004	7.894	E	1	1045	upplow_repeat
363.006	3.392	r	1	994	vowcon_switch
366.507	3.391	i	0	1518	upplow_switch
370.008	8.39	f	1	1363	upplow_repeat
378.511	6.887	+	NA	0	_fix
385.497	6.401	u	0	1931	upplow_repeat
391.998	5.4	i	1	1221	vowcon_switch
397.499	6.899	R	0	0	vowcon_repeat
404.501	7.397	M	1	1343	upplow_switch
412.004	8.894	t	1	977	upplow_repeat
421.006	6.392	A	1	1180	vowcon_switch
427.508	5.39	+	NA	0	_fix
