onset	duration	value	accuracy	response_time	trial_type
6.504	2	+	NA	0	ZeroBack_fix
8.521	1.784	M	1	576	ZeroBack_NonTarget
10.322	1.883	X	1	514	ZeroBack_Target
12.222	1.584	N	1	461	ZeroBack_NonTarget
13.823	1.883	V	1	578	ZeroBack_NonTarget
15.723	1.684	F	1	552	ZeroBack_NonTarget
17.424	1.683	D	1	466	ZeroBack_NonTarget
19.124	1.784	X	1	521	ZeroBack_Target
20.925	1.683	W	1	560	ZeroBack_NonTarget
22.625	1.384	N	1	662	ZeroBack_NonTarget
24.026	1.783	X	1	536	ZeroBack_Target
25.826	1.684	Q	1	445	ZeroBack_NonTarget
27.527	1.983	Q	1	399	ZeroBack_NonTarget
29.527	1.984	X	1	509	ZeroBack_Target
31.528	1.483	L	1	523	ZeroBack_NonTarget
33.028	1.784	+	NA	0	ZeroBack_fix
34.829	1.683	F	1	535	ZeroBack_NonTarget
36.529	1.384	Z	1	752	ZeroBack_NonTarget
37.93	1.983	J	1	550	ZeroBack_NonTarget
39.93	1.384	H	1	568	ZeroBack_NonTarget
41.331	1.483	V	1	429	ZeroBack_NonTarget
42.831	1.484	F	1	429	ZeroBack_NonTarget
44.332	1.783	X	1	508	ZeroBack_Target
46.132	1.883	X	1	452	ZeroBack_Target
48.033	1.883	P	1	555	ZeroBack_NonTarget
49.933	1.884	B	1	780	ZeroBack_NonTarget
51.834	1.483	S	1	536	ZeroBack_NonTarget
53.334	1.684	X	1	584	ZeroBack_Target
55.035	1.883	X	1	454	ZeroBack_Target
56.935	1.784	D	1	562	ZeroBack_NonTarget
58.736	1.383	X	1	522	ZeroBack_Target
60.136	1.884	P	1	601	ZeroBack_NonTarget
62.037	1.383	X	1	527	ZeroBack_Target
63.437	1.483	J	1	612	ZeroBack_NonTarget
64.937	1.384	D	1	521	ZeroBack_NonTarget
66.338	1.483	B	1	592	ZeroBack_NonTarget
67.838	1.984	+	NA	0	ZeroBack_fix
69.839	1.583	X	1	539	ZeroBack_Target
71.439	1.884	L	1	518	ZeroBack_NonTarget
73.34	1.483	V	1	413	ZeroBack_NonTarget
74.84	1.884	C	1	410	ZeroBack_NonTarget
76.741	1.483	G	1	380	ZeroBack_NonTarget
78.241	1.384	M	1	417	ZeroBack_NonTarget
79.642	1.583	P	1	402	ZeroBack_NonTarget
81.242	1.784	X	1	528	ZeroBack_Target
83.043	1.683	D	1	848	ZeroBack_NonTarget
84.743	1.584	X	1	716	ZeroBack_Target
86.344	1.383	S	1	697	ZeroBack_NonTarget
87.744	1.583	+	NA	0	ZeroBack_fix
89.344	1.684	J	1	625	ZeroBack_NonTarget
91.045	1.883	X	1	531	ZeroBack_Target
92.945	1.584	B	1	639	ZeroBack_NonTarget
94.546	1.783	X	1	534	ZeroBack_Target
96.346	1.684	R	1	569	ZeroBack_NonTarget
98.047	1.983	R	1	570	ZeroBack_NonTarget
100.047	1.484	+	NA	0	ZeroBack_fix
101.548	1.783	H	1	797	ZeroBack_NonTarget
103.348	1.984	X	1	708	ZeroBack_Target
105.349	1.383	S	1	537	ZeroBack_NonTarget
106.749	1.584	B	1	666	ZeroBack_NonTarget
108.35	1.783	D	1	491	ZeroBack_NonTarget
110.15	1.384	X	1	530	ZeroBack_Target
111.551	1.883	N	1	694	ZeroBack_NonTarget
113.451	1.584	X	1	614	ZeroBack_Target
115.052	1.683	R	1	519	ZeroBack_NonTarget
116.752	1.484	S	1	492	ZeroBack_NonTarget
118.253	1.683	X	1	577	ZeroBack_Target
119.953	1.684	J	1	454	ZeroBack_NonTarget
121.654	1.883	X	1	495	ZeroBack_Target
123.554	1.784	X	1	557	ZeroBack_Target
125.355	1.883	F	1	518	ZeroBack_NonTarget
127.255	1.984	+	NA	0	ZeroBack_fix
129.256	1.383	T	1	569	ZeroBack_NonTarget
130.656	1.984	X	1	570	ZeroBack_Target
132.657	1.383	B	1	487	ZeroBack_NonTarget
134.057	1.984	F	1	402	ZeroBack_NonTarget
136.058	1.683	F	1	512	ZeroBack_NonTarget
137.758	1.584	B	1	636	ZeroBack_NonTarget
139.359	1.783	K	1	787	ZeroBack_NonTarget
141.159	1.984	Q	1	448	ZeroBack_NonTarget
143.16	1.483	T	1	474	ZeroBack_NonTarget
144.66	1.584	X	1	539	ZeroBack_Target
146.261	1.583	X	1	661	ZeroBack_Target
147.861	1.684	W	1	583	ZeroBack_NonTarget
149.562	1.783	+	NA	0	ZeroBack_fix
151.362	1.484	X	1	538	ZeroBack_Target
152.863	1.783	Z	1	441	ZeroBack_NonTarget
154.663	1.784	P	1	563	ZeroBack_NonTarget
156.464	1.383	S	1	530	ZeroBack_NonTarget
157.864	1.584	X	1	570	ZeroBack_Target
159.465	1.683	X	1	425	ZeroBack_Target
161.165	1.583	V	1	488	ZeroBack_NonTarget
162.765	1.584	D	1	590	ZeroBack_NonTarget
164.366	1.583	X	1	566	ZeroBack_Target
165.966	1.984	X	0	419	ZeroBack_Target
167.967	1.983	G	1	722	ZeroBack_NonTarget
169.968	1.483	X	1	666	ZeroBack_Target
171.468	1.683	+	NA	0	ZeroBack_fix
179.154	1.6	+	NA	0	OneBack_fix
180.771	1.583	Q	NA	0	OneBack_na
182.371	1.984	C	1	597	OneBack_NonTarget
184.372	1.983	C	1	610	OneBack_Target
186.372	1.684	F	1	422	OneBack_NonTarget
188.073	1.383	T	1	575	OneBack_NonTarget
189.473	1.984	W	1	521	OneBack_NonTarget
191.474	1.983	H	1	531	OneBack_NonTarget
193.474	1.784	H	1	596	OneBack_Target
195.275	1.383	H	1	555	OneBack_Target
196.675	1.684	R	1	684	OneBack_NonTarget
198.376	1.983	+	NA	0	OneBack_fix
200.376	1.484	Q	1	1265	OneBack_NonTarget
201.877	1.383	P	1	741	OneBack_NonTarget
203.277	1.384	P	1	699	OneBack_Target
204.677	1.684	K	1	1087	OneBack_NonTarget
206.378	1.883	H	1	750	OneBack_NonTarget
208.279	1.583	H	1	672	OneBack_Target
209.879	1.983	+	NA	0	OneBack_fix
211.88	1.683	K	1	857	OneBack_NonTarget
213.58	1.484	K	1	670	OneBack_Target
215.08	1.784	H	1	506	OneBack_NonTarget
216.881	1.883	W	1	519	OneBack_NonTarget
218.782	1.483	T	1	502	OneBack_NonTarget
220.282	1.883	W	1	513	OneBack_NonTarget
222.183	1.783	W	1	614	OneBack_Target
223.983	1.983	S	1	482	OneBack_NonTarget
225.984	1.583	T	1	565	OneBack_NonTarget
227.584	1.584	+	NA	0	OneBack_fix
229.185	1.783	M	1	432	OneBack_NonTarget
230.985	1.384	M	1	441	OneBack_Target
232.385	1.484	P	1	455	OneBack_NonTarget
233.886	1.583	P	1	645	OneBack_Target
235.486	1.484	G	1	521	OneBack_NonTarget
236.987	1.883	Z	1	750	OneBack_NonTarget
238.887	1.384	V	1	621	OneBack_NonTarget
240.288	1.783	V	1	431	OneBack_Target
242.088	1.884	N	1	539	OneBack_NonTarget
243.989	1.983	B	1	611	OneBack_NonTarget
245.989	1.784	T	1	496	OneBack_NonTarget
247.79	1.983	T	1	821	OneBack_Target
249.79	1.884	D	1	524	OneBack_NonTarget
251.691	1.583	V	1	613	OneBack_NonTarget
253.291	1.684	B	1	569	OneBack_NonTarget
254.992	1.783	B	0	1064	OneBack_Target
256.792	1.784	B	1	724	OneBack_Target
258.593	1.683	R	1	678	OneBack_NonTarget
260.293	1.684	D	1	732	OneBack_NonTarget
261.994	1.883	K	1	494	OneBack_NonTarget
263.894	1.684	P	1	459	OneBack_NonTarget
265.595	1.483	P	1	481	OneBack_Target
267.095	1.384	D	1	537	OneBack_NonTarget
268.496	1.983	D	0	442	OneBack_Target
270.496	1.584	D	1	416	OneBack_Target
272.097	1.683	D	1	528	OneBack_Target
273.797	1.884	D	1	386	OneBack_Target
275.698	1.683	F	1	491	OneBack_NonTarget
277.398	1.484	F	1	488	OneBack_Target
278.899	1.683	N	1	464	OneBack_NonTarget
280.599	1.784	+	NA	0	OneBack_fix
282.4	1.683	J	1	591	OneBack_NonTarget
284.1	1.584	Z	1	606	OneBack_NonTarget
285.701	1.383	S	1	447	OneBack_NonTarget
287.101	1.484	S	1	571	OneBack_Target
288.602	1.883	F	1	571	OneBack_NonTarget
290.502	1.584	F	1	474	OneBack_Target
292.103	1.583	N	1	540	OneBack_NonTarget
293.703	1.683	C	1	436	OneBack_NonTarget
295.404	1.983	Z	1	599	OneBack_NonTarget
297.404	1.684	Z	1	724	OneBack_Target
299.105	1.483	K	1	471	OneBack_NonTarget
300.605	1.783	+	NA	0	OneBack_fix
302.406	1.783	K	0	968	OneBack_Target
304.206	1.483	P	1	719	OneBack_NonTarget
305.706	1.584	G	1	513	OneBack_NonTarget
307.307	1.883	R	1	502	OneBack_NonTarget
309.207	1.484	R	1	427	OneBack_Target
310.708	1.783	L	1	1056	OneBack_NonTarget
312.508	1.984	M	1	612	OneBack_NonTarget
314.509	1.483	M	1	617	OneBack_Target
316.009	1.884	P	1	519	OneBack_NonTarget
317.91	1.583	H	1	920	OneBack_NonTarget
319.51	1.684	R	1	512	OneBack_NonTarget
321.211	1.883	J	1	514	OneBack_NonTarget
323.111	1.384	R	1	782	OneBack_NonTarget
324.512	1.483	R	1	567	OneBack_Target
326.012	1.584	K	1	545	OneBack_NonTarget
327.613	1.383	H	1	558	OneBack_NonTarget
329.013	1.784	H	0	505	OneBack_Target
330.814	1.383	W	1	464	OneBack_NonTarget
332.214	1.684	W	1	602	OneBack_Target
333.915	1.983	K	1	538	OneBack_NonTarget
335.915	1.384	T	1	537	OneBack_NonTarget
337.316	1.383	T	1	908	OneBack_Target
338.716	1.783	T	1	629	OneBack_Target
340.516	1.884	F	1	515	OneBack_NonTarget
342.417	1.783	V	1	524	OneBack_NonTarget
344.217	1.584	+	NA	0	OneBack_fix
351.803	1.9	+	NA	0	TwoBack_fix
353.72	1.484	V	NA	0	TwoBack_na
355.221	1.983	P	NA	0	TwoBack_na
357.221	1.684	F	1	517	TwoBack_NonTarget
358.922	1.383	P	0	700	TwoBack_Target
360.322	1.584	H	1	639	TwoBack_NonTarget
361.923	1.583	V	1	782	TwoBack_NonTarget
363.523	1.584	N	1	575	TwoBack_NonTarget
365.123	1.384	V	1	594	TwoBack_Target
366.524	1.583	C	1	598	TwoBack_NonTarget
368.124	1.584	D	1	604	TwoBack_NonTarget
369.725	1.683	N	1	545	TwoBack_NonTarget
371.425	1.784	D	1	683	TwoBack_Target
373.226	1.683	K	1	481	TwoBack_NonTarget
374.926	1.884	P	1	465	TwoBack_NonTarget
376.827	1.883	+	NA	0	TwoBack_fix
378.727	1.584	K	1	658	TwoBack_Target
380.328	1.683	F	1	728	TwoBack_NonTarget
382.028	1.584	Q	1	467	TwoBack_NonTarget
383.629	1.783	F	1	437	TwoBack_Target
385.429	1.784	S	1	434	TwoBack_NonTarget
387.23	1.783	T	1	427	TwoBack_NonTarget
389.03	1.384	D	1	452	TwoBack_NonTarget
390.431	1.683	T	1	636	TwoBack_Target
392.131	1.984	C	1	505	TwoBack_NonTarget
394.132	1.383	M	1	462	TwoBack_NonTarget
395.532	1.784	C	1	553	TwoBack_Target
397.333	1.383	K	1	594	TwoBack_NonTarget
398.733	1.684	S	0	571	TwoBack_NonTarget
400.434	1.383	P	1	631	TwoBack_NonTarget
401.834	1.683	S	1	829	TwoBack_Target
403.535	1.383	W	1	626	TwoBack_NonTarget
404.935	1.583	S	0	597	TwoBack_Target
406.535	1.384	+	NA	0	TwoBack_fix
407.936	1.983	B	1	597	TwoBack_NonTarget
409.936	1.984	Z	1	480	TwoBack_NonTarget
411.937	1.783	B	0	493	TwoBack_Target
413.737	1.784	Z	1	651	TwoBack_Target
415.538	1.583	B	1	811	TwoBack_Target
417.138	1.684	K	1	613	TwoBack_NonTarget
418.839	1.883	L	1	554	TwoBack_NonTarget
420.739	1.684	D	1	578	TwoBack_NonTarget
422.44	1.583	W	1	560	TwoBack_NonTarget
424.04	1.384	D	1	704	TwoBack_Target
425.441	1.683	P	1	945	TwoBack_NonTarget
427.141	1.684	P	1	1373	TwoBack_NonTarget
428.842	1.783	P	1	684	TwoBack_Target
430.642	1.684	M	1	508	TwoBack_NonTarget
432.343	1.883	R	1	991	TwoBack_NonTarget
434.243	1.784	H	1	886	TwoBack_NonTarget
436.044	1.483	R	1	694	TwoBack_Target
437.544	1.984	Z	1	529	TwoBack_NonTarget
439.545	1.483	D	1	678	TwoBack_NonTarget
441.045	1.484	G	1	841	TwoBack_NonTarget
442.546	1.483	D	0	517	TwoBack_Target
444.046	1.484	T	1	927	TwoBack_NonTarget
445.547	1.483	Y	1	784	TwoBack_NonTarget
447.047	1.483	T	1	775	TwoBack_Target
448.547	1.984	C	1	817	TwoBack_NonTarget
450.548	1.883	+	NA	0	TwoBack_fix
452.449	1.883	K	1	715	TwoBack_NonTarget
454.349	1.984	D	1	506	TwoBack_NonTarget
456.35	1.483	K	1	523	TwoBack_Target
457.85	1.984	B	1	649	TwoBack_NonTarget
459.851	1.883	V	1	474	TwoBack_NonTarget
461.751	1.384	Z	0	515	TwoBack_NonTarget
463.152	1.583	V	1	989	TwoBack_Target
464.752	1.784	Z	1	691	TwoBack_Target
466.553	1.883	V	1	490	TwoBack_Target
468.453	1.684	P	1	438	TwoBack_NonTarget
470.154	1.783	H	1	701	TwoBack_NonTarget
471.954	1.384	P	1	1003	TwoBack_Target
473.355	1.783	T	1	630	TwoBack_NonTarget
475.155	1.684	P	1	682	TwoBack_Target
476.856	1.783	H	1	513	TwoBack_NonTarget
478.656	1.384	H	1	1109	TwoBack_NonTarget
480.056	1.484	H	1	616	TwoBack_Target
481.557	1.583	C	1	484	TwoBack_NonTarget
483.157	1.684	D	1	773	TwoBack_NonTarget
484.858	1.983	J	0	694	TwoBack_NonTarget
486.858	1.484	P	1	1003	TwoBack_NonTarget
488.359	1.983	J	1	741	TwoBack_Target
490.359	1.984	+	NA	0	TwoBack_fix
492.36	1.883	D	1	619	TwoBack_NonTarget
494.261	1.883	Q	1	472	TwoBack_NonTarget
496.161	1.984	D	1	630	TwoBack_Target
498.162	1.483	Q	1	521	TwoBack_Target
499.662	1.484	F	1	641	TwoBack_NonTarget
501.162	1.384	Z	0	0	TwoBack_NonTarget
502.563	1.783	T	1	52	TwoBack_NonTarget
504.363	1.584	Z	1	730	TwoBack_Target
505.964	1.683	M	1	897	TwoBack_NonTarget
507.664	1.984	D	1	706	TwoBack_NonTarget
509.665	1.583	J	1	693	TwoBack_NonTarget
511.265	1.584	D	1	605	TwoBack_Target
512.866	1.783	W	1	563	TwoBack_NonTarget
514.666	1.884	D	1	639	TwoBack_Target
516.567	1.883	+	NA	0	TwoBack_fix
