onset	duration	value	accuracy	response_time	trial_type
4.005	1.695	X	1	554	first_go
5.805	1.795	X	1	514	first_go
7.706	1.394	X	1	533	first_go
9.206	1.394	X	1	457	first_go
10.707	1.393	X	1	468	first_go
12.207	1.593	X	1	512	first_go
13.908	1.192	X	1	475	first_go
15.208	1.492	R	1	0	first_nogo
16.808	1.592	X	1	535	first_go
18.509	1.291	N	1	0	first_nogo
19.909	1.791	+	NA	0	first_fix
21.81	1.79	+	NA	0	first_fix
23.71	1.79	T	1	0	first_nogo
25.611	1.289	X	1	764	first_go
27.011	1.389	+	NA	0	first_fix
28.512	1.288	X	1	639	first_go
29.912	1.388	+	NA	0	first_fix
31.413	1.587	X	1	546	first_go
33.113	1.187	X	1	494	first_go
34.413	1.287	L	1	0	first_nogo
35.799	1.201	X	1	760	first_go
37.099	1.501	E	1	0	first_nogo
38.699	1.801	X	1	652	first_go
40.599	1.801	R	1	0	first_nogo
42.499	1.301	X	1	780	first_go
43.899	1.601	X	1	604	first_go
45.6	1.6	X	1	567	first_go
47.3	1.5	X	1	795	first_go
48.901	1.399	X	1	522	first_go
50.401	1.799	X	1	446	first_go
52.302	1.498	H	1	0	first_nogo
53.902	1.598	U	1	0	first_nogo
55.603	1.597	M	1	0	first_nogo
57.303	1.797	N	1	0	first_nogo
59.204	1.496	X	1	506	first_go
60.804	1.596	F	1	0	first_nogo
62.505	1.195	X	1	725	first_go
63.805	1.595	X	1	561	first_go
65.506	1.694	X	1	484	first_go
67.306	1.494	X	1	532	first_go
68.907	1.493	X	1	491	first_go
70.507	1.393	X	1	539	first_go
72.007	1.793	X	1	535	first_go
73.908	1.292	X	1	554	first_go
75.308	1.592	X	1	682	first_go
77.009	1.591	X	1	525	first_go
78.709	1.191	G	1	0	first_nogo
80.01	1.59	X	1	524	first_go
81.71	1.49	+	NA	0	first_fix
83.311	1.489	X	1	655	first_go
84.911	1.589	X	1	503	first_go
86.612	1.488	X	1	426	first_go
88.212	1.288	X	1	402	first_go
89.612	1.788	X	1	442	first_go
91.513	1.787	X	1	493	first_go
93.414	1.286	P	1	0	first_nogo
94.799	1.401	S	1	0	first_nogo
96.299	1.201	X	1	531	first_go
97.599	1.801	X	1	631	first_go
99.499	1.501	X	1	827	first_go
101.099	1.601	X	1	547	first_go
102.799	1.801	X	1	463	first_go
104.7	1.6	X	1	554	first_go
106.401	1.199	X	1	509	first_go
107.701	1.799	+	NA	0	first_fix
109.601	1.299	X	1	564	first_go
111.002	1.698	X	1	427	first_go
112.802	1.198	H	1	0	first_nogo
114.103	1.397	X	1	670	first_go
115.603	1.497	X	1	714	first_go
117.204	1.196	T	1	0	first_nogo
118.504	1.396	I	1	0	first_nogo
