onset	duration	value	accuracy	response_time	trial_type
6.499	1.8	+	NA	0	ZeroBack_fix
8.316	1.384	M	1	563	ZeroBack_NonTarget
9.717	1.683	X	1	522	ZeroBack_Target
11.417	1.784	N	1	414	ZeroBack_NonTarget
13.218	1.783	V	1	645	ZeroBack_NonTarget
15.018	1.884	F	1	549	ZeroBack_NonTarget
16.919	1.583	D	1	512	ZeroBack_NonTarget
18.519	1.384	X	1	472	ZeroBack_Target
19.919	1.584	W	1	472	ZeroBack_NonTarget
21.52	1.683	N	1	431	ZeroBack_NonTarget
23.22	1.784	X	1	499	ZeroBack_Target
25.021	1.583	Q	1	498	ZeroBack_NonTarget
26.621	1.984	Q	1	554	ZeroBack_NonTarget
28.622	1.483	X	1	489	ZeroBack_Target
30.122	1.384	L	1	540	ZeroBack_NonTarget
31.523	1.783	+	NA	0	ZeroBack_fix
33.323	1.384	F	1	499	ZeroBack_NonTarget
34.724	1.483	Z	1	602	ZeroBack_NonTarget
36.224	1.784	J	1	430	ZeroBack_NonTarget
38.025	1.483	H	1	445	ZeroBack_NonTarget
39.525	1.584	V	1	497	ZeroBack_NonTarget
41.125	1.484	F	1	457	ZeroBack_NonTarget
42.626	1.383	X	1	412	ZeroBack_Target
44.026	1.384	X	0	404	ZeroBack_Target
45.427	1.783	P	1	531	ZeroBack_NonTarget
47.227	1.984	B	1	635	ZeroBack_NonTarget
49.228	1.683	S	1	418	ZeroBack_NonTarget
50.928	1.884	X	1	526	ZeroBack_Target
52.829	1.883	X	1	505	ZeroBack_Target
54.729	1.484	D	1	717	ZeroBack_NonTarget
56.23	1.483	X	1	504	ZeroBack_Target
57.73	1.684	P	1	484	ZeroBack_NonTarget
59.431	1.583	X	1	407	ZeroBack_Target
61.031	1.584	J	1	439	ZeroBack_NonTarget
62.632	1.383	D	1	606	ZeroBack_NonTarget
64.032	1.383	B	1	438	ZeroBack_NonTarget
65.432	1.884	+	NA	0	ZeroBack_fix
67.333	1.683	X	1	529	ZeroBack_Target
69.033	1.684	L	1	533	ZeroBack_NonTarget
70.734	1.983	V	1	520	ZeroBack_NonTarget
72.734	1.684	C	1	528	ZeroBack_NonTarget
74.435	1.983	G	1	459	ZeroBack_NonTarget
76.435	1.684	M	1	411	ZeroBack_NonTarget
78.136	1.383	P	1	446	ZeroBack_NonTarget
79.536	1.484	X	1	486	ZeroBack_Target
81.037	1.783	D	1	521	ZeroBack_NonTarget
82.837	1.584	X	1	489	ZeroBack_Target
84.438	1.583	S	1	448	ZeroBack_NonTarget
86.038	1.884	+	NA	0	ZeroBack_fix
87.939	1.783	J	1	491	ZeroBack_NonTarget
89.739	1.884	X	1	514	ZeroBack_Target
91.64	1.883	B	1	461	ZeroBack_NonTarget
93.54	1.484	X	1	409	ZeroBack_Target
95.041	1.983	R	1	612	ZeroBack_NonTarget
97.041	1.384	R	1	492	ZeroBack_NonTarget
98.442	1.883	+	NA	0	ZeroBack_fix
100.342	1.984	H	1	447	ZeroBack_NonTarget
102.343	1.883	X	1	438	ZeroBack_Target
104.243	1.884	S	1	594	ZeroBack_NonTarget
106.144	1.983	B	1	485	ZeroBack_NonTarget
108.144	1.884	D	1	469	ZeroBack_NonTarget
110.045	1.683	X	1	488	ZeroBack_Target
111.746	1.783	N	1	451	ZeroBack_NonTarget
113.546	1.683	X	1	411	ZeroBack_Target
115.246	1.784	R	1	415	ZeroBack_NonTarget
117.047	1.683	S	1	438	ZeroBack_NonTarget
118.747	1.984	X	1	506	ZeroBack_Target
120.748	1.484	J	1	481	ZeroBack_NonTarget
122.248	1.684	X	1	541	ZeroBack_Target
123.949	1.983	X	1	464	ZeroBack_Target
125.934	1.699	F	1	431	ZeroBack_NonTarget
127.65	1.983	+	NA	0	ZeroBack_fix
129.651	1.583	T	1	538	ZeroBack_NonTarget
131.251	1.584	X	1	506	ZeroBack_Target
132.851	1.684	B	1	498	ZeroBack_NonTarget
134.552	1.583	F	1	517	ZeroBack_NonTarget
136.152	1.984	F	1	477	ZeroBack_NonTarget
138.153	1.483	B	1	484	ZeroBack_NonTarget
139.653	1.884	K	1	664	ZeroBack_NonTarget
141.554	1.383	Q	1	419	ZeroBack_NonTarget
142.954	1.384	T	1	531	ZeroBack_NonTarget
144.355	1.483	X	1	490	ZeroBack_Target
145.855	1.484	X	1	510	ZeroBack_Target
147.356	1.583	W	1	504	ZeroBack_NonTarget
148.956	1.684	+	NA	0	ZeroBack_fix
150.657	1.783	X	1	547	ZeroBack_Target
152.457	1.984	Z	1	451	ZeroBack_NonTarget
154.458	1.783	P	1	498	ZeroBack_NonTarget
156.258	1.684	S	1	458	ZeroBack_NonTarget
