onset	duration	value	accuracy	response_time	trial_type
6.509	1.6	+	NA	0	TwoBack_fix
8.126	1.484	V	NA	635	TwoBack_na
9.627	1.783	P	NA	629	TwoBack_na
11.427	1.384	F	1	644	TwoBack_NonTarget
12.827	1.484	P	1	693	TwoBack_Target
14.328	1.683	H	1	827	TwoBack_NonTarget
16.028	1.884	V	1	791	TwoBack_NonTarget
17.929	1.983	N	1	633	TwoBack_NonTarget
19.93	1.483	V	1	393	TwoBack_Target
21.43	1.683	C	1	570	TwoBack_NonTarget
23.13	1.384	D	1	550	TwoBack_NonTarget
24.531	1.483	N	1	703	TwoBack_NonTarget
26.031	1.984	D	1	410	TwoBack_Target
28.032	1.683	K	1	590	TwoBack_NonTarget
29.732	1.884	P	1	527	TwoBack_NonTarget
31.633	1.783	+	NA	0	TwoBack_fix
33.433	1.884	K	1	460	TwoBack_Target
35.334	1.583	F	1	501	TwoBack_NonTarget
36.934	1.384	Q	1	458	TwoBack_NonTarget
38.335	1.783	F	1	432	TwoBack_Target
40.135	1.684	S	1	474	TwoBack_NonTarget
41.836	1.383	T	1	463	TwoBack_NonTarget
43.236	1.584	D	1	619	TwoBack_NonTarget
44.837	1.683	T	0	603	TwoBack_Target
46.537	1.584	C	1	513	TwoBack_NonTarget
48.138	1.783	M	1	451	TwoBack_NonTarget
49.938	1.784	C	1	407	TwoBack_Target
51.739	1.883	K	1	451	TwoBack_NonTarget
53.639	1.984	S	1	502	TwoBack_NonTarget
55.64	1.583	P	1	430	TwoBack_NonTarget
57.24	1.884	S	1	498	TwoBack_Target
59.141	1.683	W	1	485	TwoBack_NonTarget
60.841	1.584	S	1	503	TwoBack_Target
62.442	1.783	+	NA	0	TwoBack_fix
64.242	1.384	B	1	543	TwoBack_NonTarget
65.643	1.783	Z	1	564	TwoBack_NonTarget
67.443	1.884	B	1	370	TwoBack_Target
69.344	1.483	Z	1	501	TwoBack_Target
70.844	1.684	B	1	507	TwoBack_Target
72.545	1.383	K	1	452	TwoBack_NonTarget
73.945	1.383	L	1	504	TwoBack_NonTarget
75.345	1.584	D	1	565	TwoBack_NonTarget
76.946	1.983	W	1	600	TwoBack_NonTarget
78.946	1.784	D	1	379	TwoBack_Target
80.747	1.983	P	1	491	TwoBack_NonTarget
82.748	1.883	P	1	851	TwoBack_NonTarget
84.648	1.984	P	1	689	TwoBack_Target
86.649	1.383	M	1	546	TwoBack_NonTarget
88.049	1.583	R	1	512	TwoBack_NonTarget
89.649	1.984	H	1	504	TwoBack_NonTarget
91.65	1.984	R	1	612	TwoBack_Target
93.651	1.383	Z	1	522	TwoBack_NonTarget
95.051	1.584	D	1	524	TwoBack_NonTarget
96.651	1.884	G	1	548	TwoBack_NonTarget
98.552	1.684	D	1	458	TwoBack_Target
100.253	1.883	T	1	478	TwoBack_NonTarget
102.153	1.784	Y	1	496	TwoBack_NonTarget
103.954	1.483	T	1	424	TwoBack_Target
105.454	1.983	C	1	446	TwoBack_NonTarget
107.455	1.683	+	NA	0	TwoBack_fix
109.155	1.784	K	1	643	TwoBack_NonTarget
110.956	1.683	D	1	543	TwoBack_NonTarget
112.656	1.684	K	1	432	TwoBack_Target
114.357	1.783	B	1	472	TwoBack_NonTarget
116.157	1.784	V	1	491	TwoBack_NonTarget
117.958	1.583	Z	1	473	TwoBack_NonTarget
119.558	1.384	V	1	602	TwoBack_Target
120.958	1.684	Z	1	530	TwoBack_Target
122.659	1.883	V	1	532	TwoBack_Target
124.559	1.984	P	1	475	TwoBack_NonTarget
126.56	1.984	H	1	431	TwoBack_NonTarget
128.561	1.583	P	1	395	TwoBack_Target
130.161	1.784	T	1	411	TwoBack_NonTarget
131.962	1.783	P	1	456	TwoBack_Target
133.762	1.884	H	1	477	TwoBack_NonTarget
135.663	1.483	H	0	634	TwoBack_NonTarget
137.163	1.484	H	0	703	TwoBack_Target
138.664	1.683	C	1	570	TwoBack_NonTarget
140.364	1.383	D	1	515	TwoBack_NonTarget
141.764	1.584	J	1	570	TwoBack_NonTarget
143.365	1.883	P	1	470	TwoBack_NonTarget
145.265	1.584	J	1	370	TwoBack_Target
146.866	1.783	+	NA	0	TwoBack_fix
148.666	1.484	D	1	515	TwoBack_NonTarget
150.167	1.983	Q	1	473	TwoBack_NonTarget
152.167	1.684	D	1	420	TwoBack_Target
153.868	1.483	Q	1	441	TwoBack_Target
155.368	1.684	F	1	459	TwoBack_NonTarget
157.069	1.583	Z	1	494	TwoBack_NonTarget
158.669	1.684	T	1	667	TwoBack_NonTarget
160.37	1.483	Z	0	679	TwoBack_Target
161.87	1.884	M	1	635	TwoBack_NonTarget
163.771	1.583	D	1	495	TwoBack_NonTarget
165.371	1.484	J	1	458	TwoBack_NonTarget
166.872	1.983	D	1	567	TwoBack_Target
168.872	1.484	W	1	468	TwoBack_NonTarget
170.373	1.383	D	1	518	TwoBack_Target
171.773	1.383	+	NA	0	TwoBack_fix
179.158	1.701	+	NA	0	ZeroBack_fix
180.876	1.583	M	1	1111	ZeroBack_NonTarget
182.476	1.684	X	1	491	ZeroBack_Target
184.177	1.983	N	1	475	ZeroBack_NonTarget
186.177	1.584	V	1	453	ZeroBack_NonTarget
187.778	1.883	F	1	449	ZeroBack_NonTarget
189.678	1.784	D	1	406	ZeroBack_NonTarget
191.479	1.883	X	1	332	ZeroBack_Target
193.379	1.384	W	1	442	ZeroBack_NonTarget
194.78	1.383	N	1	450	ZeroBack_NonTarget
196.18	1.483	X	1	396	ZeroBack_Target
197.68	1.384	Q	1	465	ZeroBack_NonTarget
199.081	1.683	Q	1	379	ZeroBack_NonTarget
