onset	duration	value	accuracy	response_time	trial_type
4.007	7.893	E	0	2233	vowcon_na
12.009	5.891	e	1	1038	vowcon_repeat
18.011	6.389	T	1	1012	vowcon_repeat
24.513	7.887	a	0	758	vowcon_repeat
32.499	4.901	R	1	1708	upplow_switch
37.5	5.4	E	1	1243	upplow_repeat
43.001	3.399	T	1	1181	vowcon_switch
46.502	6.898	A	1	840	vowcon_repeat
53.504	7.896	u	1	1374	upplow_switch
61.506	8.394	U	1	908	vowcon_switch
70.009	5.891	F	1	845	vowcon_repeat
76.01	5.39	t	1	1676	upplow_switch
81.512	6.888	I	1	1630	vowcon_switch
88.499	4.401	U	0	914	upplow_switch
92.999	6.401	t	1	758	vowcon_switch
99.5	9.4	M	1	969	vowcon_repeat
109.003	6.397	R	1	1330	upplow_switch
115.505	5.395	M	1	2292	upplow_repeat
121.006	8.394	r	1	919	vowcon_switch
129.508	3.892	T	1	1064	upplow_switch
133.51	6.89	e	1	1278	upplow_repeat
140.511	5.889	I	1	1077	upplow_repeat
146.513	4.887	R	1	1219	upplow_repeat
151.499	5.901	A	1	1081	vowcon_switch
157.499	3.901	R	1	1081	upplow_switch
161.501	6.899	F	1	1295	upplow_repeat
168.503	4.897	+	NA	0	_fix
173.504	8.396	a	1	1675	upplow_repeat
182.006	7.394	E	1	1277	vowcon_switch
189.508	7.392	r	1	879	vowcon_repeat
197.01	8.39	f	1	1001	vowcon_repeat
205.513	5.887	i	0	921	upplow_switch
211.499	8.901	m	1	1071	vowcon_switch
220.5	4.9	u	1	1014	vowcon_repeat
225.502	6.898	I	1	1316	vowcon_repeat
232.504	4.396	e	1	914	vowcon_repeat
237.005	3.895	+	NA	0	_fix
241.006	5.394	a	1	996	upplow_switch
246.507	4.393	I	1	894	upplow_repeat
251.009	5.891	r	1	968	vowcon_switch
257.01	4.39	r	1	1119	upplow_switch
261.512	3.388	f	1	1041	upplow_repeat
265.012	7.388	u	1	1733	vowcon_switch
272.499	7.401	m	1	758	upplow_switch
280	6.4	r	1	825	upplow_repeat
286.502	6.398	F	0	1946	vowcon_switch
293.004	9.396	R	1	900	upplow_switch
302.506	8.894	u	1	750	upplow_repeat
311.509	8.891	a	1	1042	upplow_repeat
320.511	3.389	e	1	1025	vowcon_switch
324.012	3.888	m	1	980	vowcon_repeat
328.013	9.387	E	1	1242	upplow_switch
337.499	6.901	+	NA	0	_fix
344.501	5.899	A	1	1290	upplow_repeat
350.503	6.397	E	1	944	upplow_repeat
357.005	7.895	r	1	770	vowcon_switch
365.007	5.393	i	1	1119	upplow_switch
370.508	9.392	f	1	698	upplow_repeat
380.011	6.389	+	NA	0	_fix
386.513	7.387	u	1	845	upplow_repeat
393.999	3.401	i	1	791	vowcon_switch
397.499	8.901	R	1	1275	vowcon_repeat
406.502	7.398	M	1	1207	upplow_switch
414.004	6.896	t	1	745	upplow_repeat
421.006	6.394	A	1	1447	vowcon_switch
427.507	5.393	+	NA	0	_fix
