onset	duration	value	accuracy	response_time	trial_type
4.003	6.897	E	1	1589	vowcon_na
11.005	7.395	e	1	1067	vowcon_repeat
18.507	5.393	T	1	917	vowcon_repeat
24.008	3.892	a	1	784	vowcon_repeat
28.01	4.89	R	0	1118	upplow_switch
33.011	4.389	E	1	1124	upplow_repeat
37.512	4.888	T	1	1079	vowcon_switch
42.514	9.386	A	1	973	vowcon_repeat
52	7.4	u	1	1183	upplow_switch
59.502	5.898	U	0	1041	vowcon_switch
65.504	7.896	F	1	1151	vowcon_repeat
73.506	9.394	t	1	1157	upplow_switch
83.009	8.391	I	0	1246	vowcon_switch
91.511	6.889	U	1	1456	upplow_switch
98.513	8.387	t	1	1006	vowcon_switch
106.999	3.401	M	1	1184	vowcon_repeat
110.5	3.9	R	1	1035	upplow_switch
114.501	6.899	M	1	706	upplow_repeat
121.503	5.397	r	1	1328	vowcon_switch
127.005	7.895	T	1	922	upplow_switch
135.007	6.893	e	1	935	upplow_repeat
142.009	7.391	I	1	933	upplow_repeat
149.512	5.388	R	1	742	upplow_repeat
155.013	5.387	A	1	913	vowcon_switch
160.499	6.401	R	1	891	upplow_switch
167	6.9	F	1	798	upplow_repeat
174.002	4.898	+	NA	0	_fix
179.004	3.896	a	1	1218	upplow_repeat
183.005	5.895	E	0	953	vowcon_switch
189.006	3.394	r	1	848	vowcon_repeat
192.507	8.393	f	1	1107	vowcon_repeat
201.01	7.39	i	1	1220	upplow_switch
208.512	6.888	m	1	918	vowcon_switch
215.499	9.401	u	1	1155	vowcon_repeat
225	5.9	I	1	885	vowcon_repeat
231.002	7.898	e	1	579	vowcon_repeat
239.004	7.896	+	NA	0	_fix
247.007	7.393	a	0	662	upplow_switch
254.509	5.391	I	0	944	upplow_repeat
260.01	3.89	r	0	843	vowcon_switch
264.012	4.888	r	1	961	upplow_switch
269.013	4.387	f	1	992	upplow_repeat
273.499	6.401	u	1	802	vowcon_switch
280	6.4	m	1	685	upplow_switch
286.502	9.398	r	1	799	upplow_repeat
296.004	4.396	F	1	833	vowcon_switch
300.506	8.894	R	0	683	upplow_switch
309.508	5.892	u	1	865	upplow_repeat
315.51	5.89	a	1	719	upplow_repeat
321.512	6.388	e	1	1013	vowcon_switch
328.014	8.886	m	1	719	vowcon_repeat
337	8.9	E	1	916	upplow_switch
346.002	6.398	+	NA	0	_fix
352.504	6.396	A	1	1004	upplow_repeat
359.006	8.894	E	1	862	upplow_repeat
368.009	5.391	r	1	595	vowcon_switch
373.51	5.89	i	1	1038	upplow_switch
379.512	5.888	f	1	580	upplow_repeat
385.514	3.386	+	NA	0	_fix
388.999	8.401	u	1	685	upplow_repeat
397.501	6.899	i	1	823	vowcon_switch
404.503	7.397	R	1	661	vowcon_repeat
412.005	6.395	M	0	615	upplow_switch
418.507	4.393	t	1	873	upplow_repeat
423.008	6.392	A	1	772	vowcon_switch
429.51	3.39	+	NA	0	_fix
