onset	duration	value	accuracy	response_time	trial_type
4.011	4.889	E	1	1829	vowcon_na
9.012	7.388	e	0	1004	vowcon_repeat
16.499	6.401	T	1	2829	vowcon_repeat
22.999	4.401	a	1	2552	vowcon_repeat
27.501	8.899	R	1	1386	upplow_switch
36.503	5.897	E	1	1672	upplow_repeat
42.505	5.395	T	1	2150	vowcon_switch
48.007	6.393	A	1	2536	vowcon_repeat
54.509	7.891	u	1	1266	upplow_switch
62.511	3.889	U	1	3056	vowcon_switch
66.512	3.388	F	1	1839	vowcon_repeat
70.013	5.887	t	1	1586	upplow_switch
75.999	4.401	I	1	1848	vowcon_switch
80.499	5.901	U	1	1300	upplow_switch
86.501	6.399	t	1	1762	vowcon_switch
93.003	4.397	M	1	2068	vowcon_repeat
97.504	4.396	R	1	1007	upplow_switch
102.006	9.394	M	1	1353	upplow_repeat
111.509	7.891	r	1	1834	vowcon_switch
119.511	6.389	T	1	1447	upplow_switch
126.013	5.387	e	1	1361	upplow_repeat
131.499	7.401	I	1	2971	upplow_repeat
139	5.4	R	1	1318	upplow_repeat
144.501	9.399	A	1	2249	vowcon_switch
154.004	6.396	R	1	2786	upplow_switch
160.506	5.394	F	1	1580	upplow_repeat
166.008	6.392	+	NA	0	_fix
172.51	8.89	a	1	1840	upplow_repeat
181.512	7.388	E	1	2046	vowcon_switch
188.999	8.401	r	1	2263	vowcon_repeat
197.5	5.9	f	1	2002	vowcon_repeat
203.502	7.398	i	1	1552	upplow_switch
211.004	8.396	m	1	1162	vowcon_switch
219.507	3.393	u	1	2011	vowcon_repeat
223.008	6.892	I	1	1525	vowcon_repeat
230.01	5.39	e	1	1939	vowcon_repeat
235.511	3.389	+	NA	0	_fix
239.012	6.888	a	1	1961	upplow_switch
245.999	6.901	I	1	1398	upplow_repeat
253	3.9	r	1	1349	vowcon_switch
257.001	8.899	r	1	1660	upplow_switch
266.003	5.397	f	1	1074	upplow_repeat
271.505	3.895	u	1	1260	vowcon_switch
275.506	7.894	m	1	1587	upplow_switch
283.509	9.391	r	1	1152	upplow_repeat
293.011	4.889	F	0	1842	vowcon_switch
298.013	5.887	R	1	2424	upplow_switch
303.999	7.901	u	1	1318	upplow_repeat
312	3.4	a	1	1157	upplow_repeat
315.501	7.399	e	1	1559	vowcon_switch
323.003	8.897	m	1	1201	vowcon_repeat
332.006	5.894	E	1	1366	upplow_switch
338.008	8.392	+	NA	0	_fix
346.51	8.39	A	1	1278	upplow_repeat
355.013	7.387	E	1	1271	upplow_repeat
362.499	6.901	r	1	1361	vowcon_switch
369.5	6.4	i	1	1840	upplow_switch
376.002	6.898	f	1	1266	upplow_repeat
383.004	3.896	+	NA	0	_fix
387.005	5.895	u	1	1535	upplow_repeat
393.007	9.393	i	1	1533	vowcon_switch
402.51	6.89	R	1	3102	vowcon_repeat
409.512	4.888	M	1	1260	upplow_switch
414.513	6.887	t	1	1786	upplow_repeat
421.499	4.901	A	1	1425	vowcon_switch
426.5	6.4	+	NA	0	_fix
