onset	duration	value	accuracy	response_time	trial_type
4.007	1.692	X	1	363	first_go
5.807	1.392	X	1	398	first_go
7.308	1.791	X	1	286	first_go
9.208	1.691	F	0	241	first_nogo
11.009	1.59	X	1	295	first_go
12.709	1.69	X	1	371	first_go
14.51	1.689	X	1	361	first_go
16.31	1.789	D	1	0	first_nogo
18.211	1.588	X	1	275	first_go
19.911	1.288	X	1	502	first_go
21.312	1.487	X	1	330	first_go
22.912	1.587	X	1	305	first_go
24.613	1.586	X	1	308	first_go
26.298	1.701	X	1	372	first_go
28.098	1.401	X	1	281	first_go
29.598	1.501	X	1	309	first_go
31.198	1.501	X	1	274	first_go
32.798	1.701	X	1	303	first_go
34.599	1.4	X	1	268	first_go
36.099	1.7	X	1	304	first_go
37.9	1.199	X	1	334	first_go
39.2	1.799	+	NA	0	first_fix
41.101	1.498	B	1	0	first_nogo
42.701	1.198	+	NA	0	first_fix
44.002	1.697	X	1	259	first_go
45.802	1.797	X	1	285	first_go
47.703	1.596	M	0	338	first_nogo
49.403	1.596	N	1	0	first_nogo
51.104	1.295	+	NA	0	first_fix
52.504	1.795	X	1	385	first_go
54.405	1.594	T	1	0	first_nogo
56.105	1.494	X	1	413	first_go
57.705	1.594	X	1	361	first_go
59.406	1.193	X	1	332	first_go
60.706	1.593	X	1	391	first_go
62.407	1.492	X	1	328	first_go
64.007	1.392	M	1	0	first_nogo
65.508	1.591	X	1	277	first_go
67.208	1.291	X	1	358	first_go
68.609	1.19	X	1	318	first_go
69.909	1.39	X	1	315	first_go
71.409	1.59	R	1	0	first_nogo
73.11	1.689	X	1	335	first_go
74.91	1.189	X	1	364	first_go
76.211	1.688	X	1	417	first_go
78.011	1.488	X	1	462	first_go
79.612	1.387	X	1	287	first_go
81.112	1.287	X	1	286	first_go
82.513	1.486	X	1	275	first_go
84.098	1.801	U	1	0	first_nogo
85.998	1.401	X	1	303	first_go
87.498	1.601	O	1	0	first_nogo
89.198	1.801	X	1	251	first_go
91.098	1.601	X	1	278	first_go
92.799	1.3	X	1	284	first_go
94.199	1.4	X	1	263	first_go
95.7	1.199	O	1	0	first_nogo
97	1.199	X	1	373	first_go
98.3	1.499	A	0	290	first_nogo
99.901	1.398	F	1	0	first_nogo
101.401	1.598	E	0	316	first_nogo
103.102	1.597	X	1	340	first_go
104.802	1.497	X	1	314	first_go
106.403	1.196	X	1	293	first_go
107.703	1.796	S	1	0	first_nogo
109.604	1.195	X	1	273	first_go
110.904	1.195	X	1	385	first_go
112.204	1.595	X	1	591	first_go
113.905	1.394	X	1	374	first_go
115.405	1.794	H	1	0	first_nogo
117.306	1.193	X	1	413	first_go
118.606	1.793	+	NA	0	first_fix
120.507	1.492	X	1	331	first_go
122.107	1.392	X	1	428	first_go
123.608	1.191	+	NA	0	first_fix
124.908	1.291	X	1	294	first_go
126.308	1.691	X	1	333	first_go
128.109	1.39	X	1	308	first_go
129.609	1.49	X	1	259	first_go
131.21	1.689	X	1	276	first_go
133.01	1.789	X	1	268	first_go
134.911	1.488	X	1	366	first_go
136.511	1.688	X	1	303	first_go
138.312	1.487	E	1	0	first_nogo
139.912	1.287	+	NA	0	first_fix
141.313	1.386	X	1	340	first_go
142.798	1.801	X	1	281	first_go
144.698	1.301	X	1	265	first_go
146.098	1.501	X	1	272	first_go
147.698	1.801	+	NA	0	first_fix
