onset	duration	value	accuracy	response_time	trial_type
4.003	4.396	E	1	2513	vowcon_na
8.505	7.394	e	1	1060	vowcon_repeat
16.007	4.892	T	1	1009	vowcon_repeat
21.008	6.891	a	1	1090	vowcon_repeat
28.01	3.389	R	0	1578	upplow_switch
31.511	6.888	E	1	958	upplow_repeat
38.498	6.401	T	1	1539	vowcon_switch
44.998	5.901	A	1	919	vowcon_repeat
51	6.899	u	1	1112	upplow_switch
58.002	4.897	U	0	1399	vowcon_switch
63.004	4.395	F	1	938	vowcon_repeat
67.505	9.394	t	1	2080	upplow_switch
77.008	3.891	I	0	1337	vowcon_switch
81.009	9.39	U	1	1936	upplow_switch
90.511	7.888	t	1	1156	vowcon_switch
98.498	8.401	M	1	1307	vowcon_repeat
106.999	6.4	R	1	1244	upplow_switch
113.501	8.398	M	1	624	upplow_repeat
122.004	5.395	r	1	1212	vowcon_switch
127.505	3.894	T	1	1854	upplow_switch
131.507	6.392	e	1	1237	upplow_repeat
138.008	3.391	I	1	1100	upplow_repeat
141.509	8.89	R	1	896	upplow_repeat
150.512	6.387	A	1	1775	vowcon_switch
156.998	5.401	R	1	933	upplow_switch
162.499	5.9	F	1	1030	upplow_repeat
168.5	5.899	+	NA	0	_fix
174.502	7.397	a	1	2256	upplow_repeat
182.004	6.395	E	1	1245	vowcon_switch
188.506	8.893	r	1	1351	vowcon_repeat
197.509	8.39	f	1	1150	vowcon_repeat
206.011	8.888	i	1	1751	upplow_switch
214.998	6.901	m	1	1292	vowcon_switch
221.999	3.9	u	1	1116	vowcon_repeat
226	5.399	I	1	1017	vowcon_repeat
231.502	9.397	e	1	811	vowcon_repeat
241.005	8.394	+	NA	0	_fix
249.507	7.392	a	0	1525	upplow_switch
257.009	9.39	I	1	1130	upplow_repeat
266.512	5.887	r	1	1048	vowcon_switch
272.498	8.901	r	1	1354	upplow_switch
281.499	3.4	f	1	686	upplow_repeat
285	3.399	u	1	1153	vowcon_switch
288.501	6.398	m	1	1032	upplow_switch
295.003	4.396	r	1	993	upplow_repeat
299.505	6.394	F	1	1449	vowcon_switch
306.006	7.393	R	1	1225	upplow_switch
313.509	6.39	u	1	1434	upplow_repeat
320.01	5.389	a	1	1442	upplow_repeat
325.512	4.887	e	1	1376	vowcon_switch
330.498	7.901	m	1	726	vowcon_repeat
338.499	6.9	E	1	1061	upplow_switch
345.501	5.398	+	NA	0	_fix
351.003	6.896	A	1	862	upplow_repeat
358.005	5.894	E	1	926	upplow_repeat
364.006	7.393	r	1	781	vowcon_switch
371.509	7.89	i	1	1832	upplow_switch
379.511	5.388	f	1	752	upplow_repeat
385.012	6.887	+	NA	0	_fix
391.998	7.901	u	1	1202	upplow_repeat
400	5.899	i	1	1236	vowcon_switch
406.002	4.397	R	1	1312	vowcon_repeat
410.503	3.896	M	1	1392	upplow_switch
414.504	4.895	t	1	993	upplow_repeat
419.506	5.893	A	1	1337	vowcon_switch
425.507	7.392	+	NA	0	_fix
