onset	duration	value	accuracy	response_time	trial_type
6.509	1.5	+	NA	0	ZeroBack_fix
8.026	1.384	M	1	857	ZeroBack_NonTarget
9.427	1.683	X	1	722	ZeroBack_Target
11.127	1.984	N	1	621	ZeroBack_NonTarget
13.128	1.883	V	1	582	ZeroBack_NonTarget
15.028	1.784	F	1	496	ZeroBack_NonTarget
16.829	1.983	D	1	453	ZeroBack_NonTarget
18.829	1.784	X	1	474	ZeroBack_Target
20.63	1.483	W	1	429	ZeroBack_NonTarget
22.13	1.884	N	1	513	ZeroBack_NonTarget
24.031	1.583	X	1	516	ZeroBack_Target
25.631	1.684	Q	1	648	ZeroBack_NonTarget
27.332	1.583	Q	1	438	ZeroBack_NonTarget
28.932	1.584	X	1	785	ZeroBack_Target
30.533	1.583	L	1	698	ZeroBack_NonTarget
32.133	1.683	+	NA	0	ZeroBack_fix
33.834	1.583	F	1	670	ZeroBack_NonTarget
35.434	1.483	Z	1	562	ZeroBack_NonTarget
36.934	1.984	J	1	560	ZeroBack_NonTarget
38.935	1.983	H	1	605	ZeroBack_NonTarget
40.936	1.383	V	1	562	ZeroBack_NonTarget
42.336	1.583	F	1	487	ZeroBack_NonTarget
43.936	1.884	X	1	492	ZeroBack_Target
45.837	1.383	X	0	458	ZeroBack_Target
47.237	1.984	P	1	532	ZeroBack_NonTarget
49.238	1.583	B	1	380	ZeroBack_NonTarget
50.838	1.584	S	1	453	ZeroBack_NonTarget
52.439	1.783	X	0	480	ZeroBack_Target
54.239	1.784	X	1	692	ZeroBack_Target
56.04	1.683	D	1	640	ZeroBack_NonTarget
57.74	1.684	X	1	608	ZeroBack_Target
59.441	1.783	P	1	567	ZeroBack_NonTarget
61.241	1.684	X	1	565	ZeroBack_Target
62.942	1.883	J	1	633	ZeroBack_NonTarget
64.842	1.784	D	1	612	ZeroBack_NonTarget
66.643	1.583	B	1	641	ZeroBack_NonTarget
68.243	1.684	+	NA	0	ZeroBack_fix
69.944	1.683	X	1	1027	ZeroBack_Target
71.644	1.984	L	1	574	ZeroBack_NonTarget
73.645	1.783	V	1	644	ZeroBack_NonTarget
75.445	1.484	C	1	924	ZeroBack_NonTarget
76.946	1.983	G	1	579	ZeroBack_NonTarget
78.946	1.784	M	1	637	ZeroBack_NonTarget
80.747	1.483	P	1	538	ZeroBack_NonTarget
82.247	1.984	X	1	709	ZeroBack_Target
84.248	1.783	D	1	668	ZeroBack_NonTarget
86.048	1.984	X	1	707	ZeroBack_Target
88.049	1.683	S	1	594	ZeroBack_NonTarget
89.749	1.784	+	NA	0	ZeroBack_fix
91.55	1.583	J	1	672	ZeroBack_NonTarget
93.15	1.384	X	1	617	ZeroBack_Target
94.551	1.883	B	1	595	ZeroBack_NonTarget
96.451	1.584	X	1	684	ZeroBack_Target
98.052	1.383	R	1	508	ZeroBack_NonTarget
99.452	1.684	R	1	544	ZeroBack_NonTarget
101.153	1.583	+	NA	0	ZeroBack_fix
102.753	1.383	H	1	631	ZeroBack_NonTarget
104.153	1.684	X	1	536	ZeroBack_Target
105.854	1.483	S	1	525	ZeroBack_NonTarget
107.354	1.984	B	1	490	ZeroBack_NonTarget
109.355	1.783	D	1	610	ZeroBack_NonTarget
111.155	1.684	X	1	587	ZeroBack_Target
112.856	1.883	N	1	614	ZeroBack_NonTarget
114.756	1.384	X	1	614	ZeroBack_Target
116.157	1.983	R	1	547	ZeroBack_NonTarget
118.157	1.884	S	1	780	ZeroBack_NonTarget
120.058	1.483	X	1	576	ZeroBack_Target
121.558	1.984	J	1	509	ZeroBack_NonTarget
123.559	1.883	X	1	642	ZeroBack_Target
125.459	1.484	X	1	776	ZeroBack_Target
126.96	1.383	F	1	564	ZeroBack_NonTarget
128.36	1.884	+	NA	0	ZeroBack_fix
130.261	1.683	T	1	641	ZeroBack_NonTarget
131.961	1.884	X	1	674	ZeroBack_Target
133.862	1.883	B	1	521	ZeroBack_NonTarget
135.762	1.784	F	1	520	ZeroBack_NonTarget
137.563	1.783	F	1	673	ZeroBack_NonTarget
139.363	1.384	B	1	528	ZeroBack_NonTarget
140.764	1.683	K	1	670	ZeroBack_NonTarget
142.464	1.584	Q	1	578	ZeroBack_NonTarget
144.065	1.583	T	1	564	ZeroBack_NonTarget
145.665	1.384	X	1	492	ZeroBack_Target
147.066	1.383	X	1	720	ZeroBack_Target
148.466	1.883	W	1	661	ZeroBack_NonTarget
150.366	1.984	+	NA	0	ZeroBack_fix
152.367	1.483	X	1	746	ZeroBack_Target
153.867	1.384	Z	1	647	ZeroBack_NonTarget
155.268	1.483	P	1	441	ZeroBack_NonTarget
156.768	1.584	S	1	470	ZeroBack_NonTarget
158.369	1.883	X	1	582	ZeroBack_Target
160.269	1.684	X	1	643	ZeroBack_Target
161.97	1.483	V	1	504	ZeroBack_NonTarget
163.47	1.484	D	1	567	ZeroBack_NonTarget
164.971	1.783	X	1	648	ZeroBack_Target
166.771	1.484	X	1	697	ZeroBack_Target
168.272	1.683	G	1	481	ZeroBack_NonTarget
169.972	1.383	X	1	597	ZeroBack_Target
171.372	1.784	+	NA	0	ZeroBack_fix
179.158	1.6	+	NA	0	OneBack_fix
180.775	1.884	Q	NA	0	OneBack_na
182.676	1.683	C	1	247	OneBack_NonTarget
184.376	1.684	C	0	271	OneBack_Target
186.077	1.383	F	0	760	OneBack_NonTarget
187.477	1.383	T	1	83	OneBack_NonTarget
188.877	1.784	W	1	1166	OneBack_NonTarget
190.678	1.483	H	1	563	OneBack_NonTarget
192.178	1.384	H	1	809	OneBack_Target
193.579	1.783	H	1	638	OneBack_Target
195.379	1.884	R	1	670	OneBack_NonTarget
197.28	1.683	+	NA	0	OneBack_fix
198.98	1.884	Q	1	582	OneBack_NonTarget
200.881	1.583	P	1	954	OneBack_NonTarget
202.481	1.384	P	0	1015	OneBack_Target
203.882	1.383	K	1	881	OneBack_NonTarget
205.282	1.983	H	1	736	OneBack_NonTarget
207.283	1.983	H	0	950	OneBack_Target
209.283	1.984	+	NA	0	OneBack_fix
211.284	1.383	K	1	712	OneBack_NonTarget
212.684	1.484	K	1	1028	OneBack_Target
214.184	1.584	H	1	566	OneBack_NonTarget
215.785	1.683	W	1	828	OneBack_NonTarget
217.485	1.884	T	1	607	OneBack_NonTarget
219.386	1.483	W	1	815	OneBack_NonTarget
220.886	1.884	W	0	784	OneBack_Target
222.787	1.683	S	1	560	OneBack_NonTarget
224.487	1.584	T	1	703	OneBack_NonTarget
226.088	1.783	+	NA	0	OneBack_fix
227.888	1.984	M	1	568	OneBack_NonTarget
229.889	1.783	M	0	912	OneBack_Target
231.689	1.884	P	1	553	OneBack_NonTarget
233.59	1.783	P	1	707	OneBack_Target
235.39	1.484	G	1	452	OneBack_NonTarget
236.891	1.783	Z	1	616	OneBack_NonTarget
238.691	1.884	V	1	754	OneBack_NonTarget
240.592	1.683	V	1	812	OneBack_Target
242.292	1.884	N	1	497	OneBack_NonTarget
244.193	1.983	B	1	649	OneBack_NonTarget
246.194	1.983	T	1	832	OneBack_NonTarget
248.194	1.584	T	1	900	OneBack_Target
249.795	1.883	D	1	654	OneBack_NonTarget
251.695	1.984	V	1	834	OneBack_NonTarget
253.696	1.983	B	1	1220	OneBack_NonTarget
255.696	1.684	B	1	746	OneBack_Target
257.397	1.383	B	1	695	OneBack_Target
258.797	1.684	R	1	510	OneBack_NonTarget
260.498	1.483	D	1	614	OneBack_NonTarget
261.998	1.683	K	1	678	OneBack_NonTarget
263.698	1.984	P	1	603	OneBack_NonTarget
265.699	1.583	P	1	662	OneBack_Target
267.299	1.784	D	1	1032	OneBack_NonTarget
269.1	1.783	D	1	934	OneBack_Target
270.9	1.584	D	1	622	OneBack_Target
272.501	1.483	D	1	578	OneBack_Target
274.001	1.984	D	1	647	OneBack_Target
276.002	1.483	F	1	663	OneBack_NonTarget
277.502	1.984	F	1	755	OneBack_Target
279.503	1.483	N	1	638	OneBack_NonTarget
281.003	1.684	+	NA	0	OneBack_fix
282.704	1.783	J	1	688	OneBack_NonTarget
284.504	1.384	Z	1	973	OneBack_NonTarget
285.905	1.683	S	1	822	OneBack_NonTarget
287.605	1.684	S	1	704	OneBack_Target
289.306	1.783	F	1	549	OneBack_NonTarget
291.106	1.784	F	1	689	OneBack_Target
292.907	1.383	N	1	508	OneBack_NonTarget
294.307	1.884	C	1	661	OneBack_NonTarget
296.208	1.583	Z	1	563	OneBack_NonTarget
297.808	1.884	Z	1	683	OneBack_Target
299.709	1.583	K	1	535	OneBack_NonTarget
301.309	1.884	+	NA	0	OneBack_fix
303.21	1.483	K	1	681	OneBack_Target
304.71	1.384	P	1	416	OneBack_NonTarget
306.11	1.584	G	1	697	OneBack_NonTarget
307.711	1.783	R	1	619	OneBack_NonTarget
309.511	1.684	R	1	615	OneBack_Target
311.212	1.383	L	1	552	OneBack_NonTarget
312.612	1.584	M	1	636	OneBack_NonTarget
314.213	1.683	M	1	914	OneBack_Target
315.913	1.584	P	1	453	OneBack_NonTarget
317.514	1.383	H	1	669	OneBack_NonTarget
318.914	1.984	R	1	577	OneBack_NonTarget
320.915	1.983	J	1	759	OneBack_NonTarget
322.915	1.584	R	1	582	OneBack_NonTarget
324.516	1.583	R	0	794	OneBack_Target
326.116	1.684	K	1	476	OneBack_NonTarget
327.817	1.583	H	1	671	OneBack_NonTarget
329.417	1.384	H	1	755	OneBack_Target
330.817	1.484	W	1	474	OneBack_NonTarget
332.318	1.483	W	1	816	OneBack_Target
333.818	1.784	K	1	609	OneBack_NonTarget
335.619	1.683	T	1	584	OneBack_NonTarget
337.319	1.784	T	1	693	OneBack_Target
339.12	1.883	T	1	949	OneBack_Target
341.02	1.484	F	1	483	OneBack_NonTarget
342.521	1.783	V	1	577	OneBack_NonTarget
344.321	1.484	+	NA	0	OneBack_fix
351.807	1.6	+	NA	0	TwoBack_fix
353.424	1.583	V	NA	0	TwoBack_na
355.024	1.384	P	NA	1138	TwoBack_na
356.425	1.583	F	0	0	TwoBack_NonTarget
358.025	1.384	P	0	131	TwoBack_Target
359.426	1.683	H	1	740	TwoBack_NonTarget
361.126	1.883	V	1	527	TwoBack_NonTarget
363.027	1.983	N	1	582	TwoBack_NonTarget
365.027	1.684	V	1	1300	TwoBack_Target
366.728	1.583	C	1	455	TwoBack_NonTarget
368.328	1.783	D	1	1014	TwoBack_NonTarget
370.129	1.783	N	1	652	TwoBack_NonTarget
371.929	1.984	D	0	621	TwoBack_Target
373.93	1.383	K	1	617	TwoBack_NonTarget
375.33	1.583	P	1	578	TwoBack_NonTarget
376.93	1.484	+	NA	0	TwoBack_fix
378.431	1.983	K	0	1072	TwoBack_Target
380.431	1.584	F	1	1047	TwoBack_NonTarget
382.032	1.583	Q	1	853	TwoBack_NonTarget
383.632	1.484	F	1	985	TwoBack_Target
385.133	1.483	S	1	594	TwoBack_NonTarget
386.633	1.784	T	1	671	TwoBack_NonTarget
388.434	1.583	D	1	816	TwoBack_NonTarget
390.034	1.684	T	1	1059	TwoBack_Target
391.735	1.683	C	1	413	TwoBack_NonTarget
393.435	1.884	M	1	592	TwoBack_NonTarget
395.336	1.683	C	0	962	TwoBack_Target
397.036	1.884	K	1	1091	TwoBack_NonTarget
398.937	1.383	S	1	780	TwoBack_NonTarget
400.337	1.784	P	1	1000	TwoBack_NonTarget
402.138	1.683	S	1	937	TwoBack_Target
403.838	1.784	W	1	493	TwoBack_NonTarget
405.639	1.883	S	0	991	TwoBack_Target
407.539	1.784	+	NA	0	TwoBack_fix
409.34	1.483	B	1	776	TwoBack_NonTarget
410.84	1.484	Z	1	749	TwoBack_NonTarget
412.34	1.784	B	1	801	TwoBack_Target
414.141	1.583	Z	0	435	TwoBack_Target
415.741	1.784	B	0	938	TwoBack_Target
417.542	1.883	K	1	1179	TwoBack_NonTarget
419.442	1.984	L	1	847	TwoBack_NonTarget
421.443	1.884	D	1	1303	TwoBack_NonTarget
423.344	1.983	W	1	795	TwoBack_NonTarget
425.344	1.884	D	1	782	TwoBack_Target
427.245	1.383	P	1	521	TwoBack_NonTarget
428.645	1.884	P	0	1087	TwoBack_NonTarget
430.546	1.383	P	0	396	TwoBack_Target
431.946	1.383	M	1	757	TwoBack_NonTarget
433.346	1.584	R	0	0	TwoBack_NonTarget
434.947	1.683	H	1	486	TwoBack_NonTarget
436.647	1.684	R	0	603	TwoBack_Target
438.348	1.983	Z	1	554	TwoBack_NonTarget
440.348	1.384	D	1	746	TwoBack_NonTarget
441.749	1.683	G	1	517	TwoBack_NonTarget
443.449	1.784	D	1	903	TwoBack_Target
445.25	1.483	T	1	491	TwoBack_NonTarget
446.75	1.584	Y	1	502	TwoBack_NonTarget
448.351	1.383	T	1	1039	TwoBack_Target
449.751	1.984	C	1	588	TwoBack_NonTarget
451.752	1.483	+	NA	0	TwoBack_fix
453.252	1.883	K	1	577	TwoBack_NonTarget
455.153	1.583	D	0	615	TwoBack_NonTarget
456.753	1.783	K	0	4	TwoBack_Target
458.554	1.983	B	1	646	TwoBack_NonTarget
460.554	1.584	V	1	390	TwoBack_NonTarget
462.155	1.783	Z	1	583	TwoBack_NonTarget
463.955	1.884	V	0	563	TwoBack_Target
465.856	1.683	Z	0	0	TwoBack_Target
467.556	1.984	V	0	469	TwoBack_Target
469.557	1.983	P	1	603	TwoBack_NonTarget
471.557	1.484	H	1	353	TwoBack_NonTarget
473.058	1.983	P	1	754	TwoBack_Target
475.058	1.484	T	1	425	TwoBack_NonTarget
476.559	1.783	P	0	683	TwoBack_Target
478.359	1.484	H	1	623	TwoBack_NonTarget
479.86	1.683	H	1	1178	TwoBack_NonTarget
481.56	1.383	H	1	990	TwoBack_Target
482.96	1.984	C	1	1042	TwoBack_NonTarget
484.961	1.983	D	1	681	TwoBack_NonTarget
486.962	1.483	J	1	574	TwoBack_NonTarget
488.462	1.583	P	1	737	TwoBack_NonTarget
490.062	1.484	J	0	770	TwoBack_Target
491.563	1.683	+	NA	0	TwoBack_fix
493.263	1.684	D	1	707	TwoBack_NonTarget
494.964	1.883	Q	1	670	TwoBack_NonTarget
496.864	1.884	D	0	892	TwoBack_Target
498.765	1.683	Q	0	677	TwoBack_Target
500.465	1.384	F	1	640	TwoBack_NonTarget
501.866	1.683	Z	1	620	TwoBack_NonTarget
503.566	1.784	T	1	789	TwoBack_NonTarget
505.367	1.383	Z	0	0	TwoBack_Target
506.767	1.884	M	1	695	TwoBack_NonTarget
508.668	1.683	D	1	331	TwoBack_NonTarget
510.368	1.584	J	1	504	TwoBack_NonTarget
511.969	1.783	D	0	679	TwoBack_Target
513.769	1.484	W	1	621	TwoBack_NonTarget
515.27	1.783	D	0	418	TwoBack_Target
517.07	1.384	+	NA	0	TwoBack_fix
