onset	duration	value	accuracy	response_time	trial_type
4.006	1.692	X	1	557	first_go
5.806	1.392	X	1	395	first_go
7.307	1.391	X	1	422	first_go
8.807	1.691	E	1	0	first_nogo
10.608	1.69	X	1	363	first_go
12.408	1.39	G	1	0	first_nogo
13.909	1.589	X	1	418	first_go
15.609	1.489	M	1	0	first_nogo
17.21	1.388	F	1	0	first_nogo
18.71	1.788	X	1	334	first_go
20.611	1.587	R	1	0	first_nogo
22.311	1.487	X	1	418	first_go
23.912	1.686	X	1	539	first_go
25.697	1.801	X	1	480	first_go
27.597	1.501	X	1	423	first_go
29.197	1.401	X	1	520	first_go
30.697	1.501	M	1	0	first_nogo
32.297	1.501	F	1	0	first_nogo
33.898	1.6	X	1	420	first_go
35.598	1.3	X	1	396	first_go
36.999	1.499	X	1	496	first_go
38.599	1.699	X	1	541	first_go
40.4	1.198	X	1	610	first_go
41.7	1.498	X	1	557	first_go
43.3	1.598	C	1	0	first_nogo
45.001	1.697	X	1	448	first_go
46.801	1.797	X	1	454	first_go
48.702	1.496	X	1	535	first_go
50.302	1.196	X	1	584	first_go
51.603	1.195	R	1	0	first_nogo
52.903	1.795	X	1	453	first_go
54.804	1.194	X	1	500	first_go
56.104	1.594	X	1	472	first_go
57.805	1.693	X	1	457	first_go
59.605	1.293	X	1	446	first_go
61.005	1.393	X	1	534	first_go
62.506	1.692	X	1	336	first_go
64.306	1.592	P	1	0	first_nogo
66.007	1.291	X	1	480	first_go
67.407	1.391	X	1	463	first_go
68.908	1.59	X	1	392	first_go
70.608	1.59	X	1	535	first_go
72.309	1.489	O	1	0	first_nogo
73.909	1.289	X	1	543	first_go
75.309	1.689	L	1	0	first_nogo
77.11	1.688	+	NA	0	first_fix
78.91	1.288	X	1	445	first_go
80.311	1.687	X	1	476	first_go
82.111	1.387	X	1	410	first_go
83.597	1.501	X	1	385	first_go
85.197	1.801	X	1	446	first_go
87.097	1.201	X	1	456	first_go
88.397	1.201	+	NA	0	first_fix
89.697	1.601	+	NA	0	first_fix
91.397	1.301	X	1	409	first_go
92.798	1.7	X	1	464	first_go
94.598	1.3	X	1	348	first_go
95.999	1.299	X	1	539	first_go
97.399	1.299	+	NA	0	first_fix
98.799	1.399	N	1	0	first_nogo
100.3	1.398	+	NA	0	first_fix
101.8	1.198	X	1	417	first_go
103.101	1.497	X	1	364	first_go
104.701	1.797	X	1	329	first_go
106.602	1.696	X	1	498	first_go
108.402	1.696	X	1	420	first_go
110.203	1.195	X	1	400	first_go
111.503	1.395	X	1	439	first_go
113.003	1.495	X	1	415	first_go
114.604	1.194	X	1	487	first_go
115.904	1.794	X	1	609	first_go
117.805	1.193	X	1	497	first_go
119.105	1.693	X	1	310	first_go
120.906	1.592	X	1	380	first_go
122.606	1.792	X	1	486	first_go
124.507	1.391	Q	1	0	first_nogo
126.007	1.691	S	1	0	first_nogo
127.808	1.39	X	1	433	first_go
129.308	1.79	X	1	383	first_go
131.209	1.589	N	1	0	first_nogo
132.909	1.389	X	1	399	first_go
134.409	1.289	X	1	352	first_go
135.81	1.188	X	1	377	first_go
137.11	1.288	X	1	453	first_go
138.511	1.287	A	1	0	first_nogo
139.911	1.387	X	1	388	first_go
141.411	1.187	X	1	297	first_go
142.697	1.301	X	1	289	first_go
144.097	1.401	+	NA	0	first_fix
145.597	1.801	X	1	384	first_go
147.497	1.401	J	1	0	first_nogo
148.997	1.701	X	1	414	first_go
150.797	1.401	X	1	360	first_go
152.298	1.4	D	1	0	first_nogo
153.798	1.8	G	1	0	first_nogo
155.699	1.799	X	1	446	first_go
157.599	1.599	X	1	390	first_go
159.3	1.298	X	1	291	first_go
160.7	1.198	X	1	355	first_go
162.001	1.297	X	1	285	first_go
163.401	1.797	X	1	314	first_go
165.302	1.496	X	1	444	first_go
166.902	1.596	X	1	280	first_go
168.602	1.296	O	1	0	first_nogo
170.003	1.495	X	1	356	first_go
171.603	1.395	X	1	367	first_go
