onset	duration	value	accuracy	response_time	trial_type
4	6.4	E	1	1160	vowcon_na
10.502	7.398	e	1	1385	vowcon_repeat
18.004	4.396	T	1	875	vowcon_repeat
22.505	4.395	a	0	878	vowcon_repeat
27.006	3.894	R	1	1361	upplow_switch
31.008	7.892	E	0	1343	upplow_repeat
39.01	7.39	T	1	1533	vowcon_switch
46.512	5.388	A	1	1039	vowcon_repeat
52.014	6.386	u	1	865	upplow_switch
58.499	7.901	U	0	1636	vowcon_switch
66.501	4.899	F	1	1042	vowcon_repeat
71.503	8.397	t	1	855	upplow_switch
80.005	4.395	I	1	1529	vowcon_switch
90.508	5.392	t	1	858	vowcon_switch
96.01	7.39	M	1	1804	vowcon_repeat
103.512	5.888	R	1	1086	upplow_switch
109.513	6.887	M	1	1373	upplow_repeat
116.499	6.401	r	1	1555	vowcon_switch
123.001	9.399	T	1	1005	upplow_switch
132.503	8.897	e	1	1247	upplow_repeat
141.506	6.894	I	1	1460	upplow_repeat
148.508	6.392	R	1	1241	upplow_repeat
155.01	3.89	A	1	1227	vowcon_switch
159.011	5.889	R	1	1274	upplow_switch
165.013	8.887	F	1	1224	upplow_repeat
173.999	8.401	+	NA	0	_fix
199.506	6.894	r	1	1115	vowcon_repeat
206.508	6.892	f	1	977	vowcon_repeat
213.51	6.39	i	1	1015	upplow_switch
220.012	3.388	m	1	1537	vowcon_switch
223.513	8.387	u	1	1691	vowcon_repeat
231.999	4.901	I	1	1085	vowcon_repeat
243.002	9.398	+	NA	0	_fix
252.504	6.396	a	1	1452	upplow_switch
259.006	7.394	I	0	1766	upplow_repeat
266.508	8.892	r	1	880	vowcon_switch
275.511	6.389	r	1	1437	upplow_switch
282.013	3.387	f	1	807	upplow_repeat
285.499	4.901	u	1	1257	vowcon_switch
290.499	6.901	m	1	1145	upplow_switch
297.501	6.899	r	1	1023	upplow_repeat
304.503	4.397	F	1	1132	vowcon_switch
314.506	4.894	u	1	1065	upplow_repeat
319.507	5.893	a	1	1248	upplow_repeat
325.509	3.891	e	1	1382	vowcon_switch
329.51	3.39	m	1	901	vowcon_repeat
333.011	8.389	E	1	1272	upplow_switch
341.513	6.887	+	NA	0	_fix
348.499	3.401	A	1	896	upplow_repeat
352	6.4	E	0	1475	upplow_repeat
358.502	8.898	r	1	837	vowcon_switch
367.504	7.896	i	1	891	upplow_switch
375.506	5.894	f	0	1320	upplow_repeat
381.508	7.392	+	NA	382	_fix
389.01	7.89	u	1	744	upplow_repeat
397.013	5.387	i	0	1533	vowcon_switch
402.499	5.901	R	1	1591	vowcon_repeat
408.499	5.401	M	1	911	upplow_switch
414.001	3.899	t	1	753	upplow_repeat
418.002	9.398	A	1	1600	vowcon_switch
427.505	5.395	+	NA	0	_fix
