onset	duration	value	accuracy	response_time	trial_type
4.01	8.389	E	1	1184	vowcon_na
12.513	8.886	e	1	1454	vowcon_repeat
21.499	9.4	T	1	1504	vowcon_repeat
31.001	9.398	a	1	1104	vowcon_repeat
40.504	4.395	R	1	1142	upplow_switch
45.005	6.894	E	1	1113	upplow_repeat
52.007	3.892	T	1	1937	vowcon_switch
56.009	8.89	A	1	1068	vowcon_repeat
65.011	6.388	u	1	1125	upplow_switch
71.498	3.901	U	1	1656	vowcon_switch
75.498	7.401	F	1	1387	vowcon_repeat
83	6.899	t	1	1071	upplow_switch
90.002	3.397	I	1	1268	vowcon_switch
93.503	5.896	U	1	1157	upplow_switch
99.504	6.895	t	1	1587	vowcon_switch
106.506	3.893	M	1	1305	vowcon_repeat
110.508	6.391	R	1	974	upplow_switch
117.009	5.89	M	1	1091	upplow_repeat
123.011	7.388	r	1	1175	vowcon_switch
130.498	7.401	T	1	912	upplow_switch
137.999	4.4	e	1	933	upplow_repeat
142.5	5.399	I	1	749	upplow_repeat
148.002	4.897	R	1	743	upplow_repeat
153.003	7.396	A	1	1252	vowcon_switch
160.505	4.894	R	1	882	upplow_switch
165.507	6.392	F	1	916	upplow_repeat
172.008	8.391	+	NA	0	_fix
180.511	7.888	a	1	1023	upplow_repeat
188.498	8.401	E	1	1488	vowcon_switch
196.999	5.4	r	1	1240	vowcon_repeat
202.501	5.398	f	1	1072	vowcon_repeat
208.002	6.397	i	1	1702	upplow_switch
214.504	6.895	m	1	1091	vowcon_switch
221.506	5.893	u	1	1853	vowcon_repeat
227.508	9.391	I	1	1431	vowcon_repeat
237.01	8.889	e	1	979	vowcon_repeat
245.998	5.401	+	NA	0	_fix
251.498	6.401	a	1	1312	upplow_switch
258	3.399	I	1	958	upplow_repeat
261.501	5.398	r	1	1194	vowcon_switch
267.002	7.897	r	1	1375	upplow_switch
275.005	7.394	f	1	1133	upplow_repeat
282.507	7.892	u	1	1237	vowcon_switch
290.509	6.89	m	1	1067	upplow_switch
297.511	4.888	r	1	983	upplow_repeat
302.513	6.386	F	1	1296	vowcon_switch
308.998	9.401	R	1	1166	upplow_switch
318.5	6.899	u	1	882	upplow_repeat
325.502	5.897	a	1	757	upplow_repeat
331.504	4.395	e	1	1060	vowcon_switch
336.005	4.894	m	1	973	vowcon_repeat
341.007	6.392	E	1	935	upplow_switch
347.509	3.39	+	NA	0	_fix
351.01	5.889	A	1	846	upplow_repeat
357.011	6.388	E	1	829	upplow_repeat
363.498	7.401	r	1	1280	vowcon_switch
370.999	8.4	i	1	1150	upplow_switch
379.501	6.898	f	1	1212	upplow_repeat
386.503	5.896	+	NA	0	_fix
392.505	7.894	u	1	783	upplow_repeat
400.507	8.892	i	1	1034	vowcon_switch
409.51	4.389	R	1	1017	vowcon_repeat
414.011	3.888	M	1	1094	upplow_switch
418.012	5.387	t	1	1004	upplow_repeat
423.498	3.401	A	1	1359	vowcon_switch
426.998	5.901	+	NA	0	_fix
