onset	duration	value	accuracy	response_time	trial_type
4.013	4.386	E	1	2094	vowcon_na
8.498	7.401	e	0	0	vowcon_repeat
15.999	6.4	T	1	1385	vowcon_repeat
22.501	3.398	a	1	1653	vowcon_repeat
26.002	3.397	R	1	1537	upplow_switch
29.503	8.896	E	1	1404	upplow_repeat
38.506	6.893	T	1	1302	vowcon_switch
45.508	5.891	A	1	1963	vowcon_repeat
51.51	6.389	u	1	1470	upplow_switch
58.012	6.887	U	1	1545	vowcon_switch
64.998	8.401	F	1	1489	vowcon_repeat
73.499	6.9	t	1	1339	upplow_switch
80.501	4.898	I	1	2639	vowcon_switch
85.503	6.896	U	1	2430	upplow_switch
92.505	6.894	t	1	1121	vowcon_switch
99.507	8.392	M	1	1367	vowcon_repeat
108.009	9.39	R	1	1197	upplow_switch
117.512	5.887	M	1	1170	upplow_repeat
123.498	8.901	r	1	1470	vowcon_switch
132.5	5.399	T	1	1520	upplow_switch
138.001	3.398	e	1	960	upplow_repeat
141.502	3.897	I	1	1202	upplow_repeat
145.503	6.396	R	1	883	upplow_repeat
152.005	4.394	A	1	1353	vowcon_switch
156.506	5.393	R	1	801	upplow_switch
162.008	6.391	F	1	1363	upplow_repeat
168.51	8.389	+	NA	0	_fix
177.012	9.387	a	1	1667	upplow_repeat
186.498	5.401	E	1	1377	vowcon_switch
192	3.899	r	1	1694	vowcon_repeat
196.001	5.898	f	1	1582	vowcon_repeat
202.003	9.396	i	1	1645	upplow_switch
211.505	7.394	m	1	1282	vowcon_switch
219.008	4.391	u	1	1496	vowcon_repeat
223.509	5.89	I	1	1621	vowcon_repeat
229.511	5.888	e	1	1486	vowcon_repeat
235.512	7.887	+	NA	0	_fix
243.498	5.401	a	1	1019	upplow_switch
249	8.899	I	1	767	upplow_repeat
258.002	4.897	r	1	1389	vowcon_switch
263.004	7.895	r	1	1320	upplow_switch
271.006	4.893	f	1	1154	upplow_repeat
276.007	5.392	u	1	911	vowcon_switch
281.509	9.39	m	1	1065	upplow_switch
291.012	5.387	r	1	1383	upplow_repeat
296.498	3.901	F	1	1362	vowcon_switch
300.498	6.401	R	1	1265	upplow_switch
306.999	7.4	u	1	1217	upplow_repeat
314.502	8.397	a	1	1047	upplow_repeat
323.004	3.895	e	1	1902	vowcon_switch
327.005	6.394	m	1	859	vowcon_repeat
333.507	7.392	E	1	1226	upplow_switch
341.009	7.89	+	NA	0	_fix
349.012	8.887	A	1	1067	upplow_repeat
357.998	4.401	E	1	1045	upplow_repeat
362.499	6.4	r	1	1460	vowcon_switch
369.001	3.398	i	1	1317	upplow_switch
372.502	5.897	f	1	1107	upplow_repeat
378.503	6.896	+	NA	0	_fix
385.505	6.894	u	1	828	upplow_repeat
392.507	5.892	i	1	1807	vowcon_switch
398.509	7.89	R	1	1214	vowcon_repeat
406.511	7.388	M	1	1165	upplow_switch
413.998	4.901	t	1	1049	upplow_repeat
418.998	7.401	A	1	1303	vowcon_switch
426.5	6.399	+	NA	0	_fix
