onset	duration	value	accuracy	response_time	trial_type
4.006	7.393	E	0	1626	vowcon_na
11.508	7.891	e	1	1618	vowcon_repeat
19.511	5.388	T	1	1029	vowcon_repeat
25.012	5.887	a	1	851	vowcon_repeat
30.998	3.401	R	1	1440	upplow_switch
34.498	8.401	E	1	638	upplow_repeat
43.001	5.398	T	1	1245	vowcon_switch
48.502	3.397	A	1	718	vowcon_repeat
52.003	5.396	u	1	821	upplow_switch
57.505	5.894	U	1	1178	vowcon_switch
63.506	5.893	F	1	887	vowcon_repeat
69.508	5.391	t	1	1410	upplow_switch
75.01	6.389	I	1	1295	vowcon_switch
81.511	9.388	U	1	1580	upplow_switch
90.998	9.401	t	1	1202	vowcon_switch
100.5	6.399	M	1	984	vowcon_repeat
107.002	8.397	R	1	1152	upplow_switch
115.504	7.395	M	1	1069	upplow_repeat
123.006	7.393	r	1	1424	vowcon_switch
130.509	4.39	T	1	759	upplow_switch
135.01	6.389	e	0	1195	upplow_repeat
141.512	8.887	I	1	820	upplow_repeat
150.498	5.901	R	1	1002	upplow_repeat
156.499	6.9	A	1	1393	vowcon_switch
163.501	3.398	R	1	922	upplow_switch
167.002	5.897	F	1	1116	upplow_repeat
173.004	5.895	+	NA	0	_fix
179.006	4.893	a	0	1316	upplow_repeat
184.007	7.392	E	1	1880	vowcon_switch
191.509	6.39	r	1	1274	vowcon_repeat
198.011	6.888	f	1	1196	vowcon_repeat
204.998	4.901	i	1	1916	upplow_switch
209.998	8.901	m	1	1053	vowcon_switch
219	4.899	u	1	1242	vowcon_repeat
224.002	3.897	I	1	1058	vowcon_repeat
228.003	8.896	e	1	921	vowcon_repeat
237.005	3.894	+	NA	0	_fix
241.006	3.393	a	1	1303	upplow_switch
244.507	7.892	I	1	838	upplow_repeat
252.51	4.389	r	1	1234	vowcon_switch
257.011	7.888	r	1	1655	upplow_switch
264.998	3.901	f	1	1340	upplow_repeat
268.998	4.401	u	1	1180	vowcon_switch
273.499	3.9	m	1	1037	upplow_switch
277.5	6.899	r	1	584	upplow_repeat
284.502	6.397	F	0	835	vowcon_switch
291.004	6.895	R	1	1040	upplow_switch
298.006	8.393	u	1	1583	upplow_repeat
306.508	8.391	a	1	1397	upplow_repeat
315.011	9.388	e	1	1151	vowcon_switch
324.498	6.901	m	1	1400	vowcon_repeat
331.499	9.4	E	1	910	upplow_switch
341.001	7.398	+	NA	0	_fix
348.503	6.896	A	1	672	upplow_repeat
355.505	6.894	E	1	672	upplow_repeat
362.507	4.892	r	1	793	vowcon_switch
367.509	8.89	i	1	1566	upplow_switch
376.511	7.388	f	1	1006	upplow_repeat
383.998	6.401	+	NA	0	_fix
390.499	5.4	u	1	1355	upplow_repeat
396	5.899	i	1	1271	vowcon_switch
402.002	7.897	R	1	1502	vowcon_repeat
410.004	4.395	M	1	1348	upplow_switch
414.505	6.394	t	1	1547	upplow_repeat
421.007	5.392	A	1	1401	vowcon_switch
426.509	6.39	+	NA	0	_fix
