onset	duration	value	accuracy	response_time	trial_type
4	9.399	E	1	1180	vowcon_na
13.502	7.397	e	1	1245	vowcon_repeat
21.005	5.394	T	1	1285	vowcon_repeat
26.506	3.893	a	1	1180	vowcon_repeat
30.507	5.892	R	1	2083	upplow_switch
36.509	4.89	E	1	1617	upplow_repeat
41.51	5.389	T	1	1352	vowcon_switch
47.012	8.387	A	1	1548	vowcon_repeat
55.498	7.901	u	1	1613	upplow_switch
63.5	3.899	U	1	1377	vowcon_switch
67.501	6.898	F	1	1156	vowcon_repeat
74.503	6.396	t	1	1484	upplow_switch
81.005	4.394	I	1	1116	vowcon_switch
85.506	3.393	U	1	1567	upplow_switch
89.007	9.392	t	1	1427	vowcon_switch
98.51	3.389	M	1	834	vowcon_repeat
102.011	6.388	R	1	1041	upplow_switch
108.498	6.401	M	1	1211	upplow_repeat
114.998	6.901	r	1	1016	vowcon_switch
122	7.899	T	1	1024	upplow_switch
130.002	6.397	e	1	1442	upplow_repeat
136.504	8.895	I	1	1119	upplow_repeat
145.507	5.892	R	1	1029	upplow_repeat
151.509	8.89	A	1	859	vowcon_switch
160.511	4.888	R	1	887	upplow_switch
165.513	5.386	F	1	1005	upplow_repeat
170.998	6.901	+	NA	0	_fix
177.999	8.4	a	1	1459	upplow_repeat
186.502	5.397	E	1	1102	vowcon_switch
192.004	6.895	r	1	1360	vowcon_repeat
199.006	7.393	f	1	971	vowcon_repeat
206.508	5.891	i	1	898	upplow_switch
212.509	5.89	m	1	845	vowcon_switch
218.511	3.888	u	1	1175	vowcon_repeat
222.512	5.887	I	1	1373	vowcon_repeat
228.498	3.901	e	1	873	vowcon_repeat
232.498	7.401	+	NA	0	_fix
240.001	9.398	a	1	1405	upplow_switch
249.503	6.396	I	0	1225	upplow_repeat
256.005	4.894	r	1	880	vowcon_switch
261.007	4.892	r	1	1476	upplow_switch
266.008	4.391	f	1	1402	upplow_repeat
270.509	4.39	u	1	1044	vowcon_switch
275.011	6.388	m	1	1434	upplow_switch
281.512	8.387	r	1	1192	upplow_repeat
289.998	7.401	F	1	1121	vowcon_switch
297.5	5.399	R	0	876	upplow_switch
303.002	5.897	u	1	1280	upplow_repeat
309.004	6.395	a	1	1181	upplow_repeat
315.506	6.893	e	1	1065	vowcon_switch
322.508	8.891	m	1	966	vowcon_repeat
331.51	3.389	E	1	1325	upplow_switch
335.011	7.888	+	NA	0	_fix
342.998	8.901	A	1	890	upplow_repeat
351.999	8.4	E	1	1116	upplow_repeat
360.502	7.397	r	1	1164	vowcon_switch
368.004	3.395	i	1	910	upplow_switch
371.505	9.394	f	1	1219	upplow_repeat
381.008	4.391	+	NA	0	_fix
385.509	7.39	u	1	1134	upplow_repeat
393.011	5.388	i	1	928	vowcon_switch
398.513	6.886	R	1	838	vowcon_repeat
405.498	6.401	M	1	904	upplow_switch
412	7.899	t	1	1361	upplow_repeat
420.002	6.897	A	1	1123	vowcon_switch
427.004	5.895	+	NA	0	_fix
