onset	duration	value	accuracy	response_time	trial_type
4.009	3.39	E	1	2460	vowcon_na
7.51	3.389	e	1	2260	vowcon_repeat
11.011	7.888	T	1	1080	vowcon_repeat
18.998	6.901	a	0	0	vowcon_repeat
25.999	3.4	R	1	2491	upplow_switch
29.5	6.399	E	1	1017	upplow_repeat
36.002	9.397	T	1	1734	vowcon_switch
45.504	5.395	A	1	1976	vowcon_repeat
51.006	7.393	u	1	2150	upplow_switch
58.508	5.891	U	1	1656	vowcon_switch
64.51	8.889	F	1	1468	vowcon_repeat
73.512	6.887	t	1	1627	upplow_switch
80.498	4.401	I	1	2080	vowcon_switch
84.999	3.9	U	0	2205	upplow_switch
89	6.399	t	1	2896	vowcon_switch
95.502	5.897	M	1	1309	vowcon_repeat
101.504	8.395	R	1	2396	upplow_switch
110.006	6.893	M	1	1692	upplow_repeat
117.008	7.391	r	1	1384	vowcon_switch
124.51	5.389	T	1	1630	upplow_switch
130.012	8.387	e	1	1084	upplow_repeat
138.498	3.901	I	1	1430	upplow_repeat
142.499	4.9	R	1	1103	upplow_repeat
147.5	6.899	A	1	1366	vowcon_switch
154.502	8.897	R	1	1068	upplow_switch
163.505	8.394	F	1	1109	upplow_repeat
172.007	4.392	+	NA	0	_fix
176.508	9.391	a	1	1184	upplow_repeat
186.011	7.888	E	1	1211	vowcon_switch
193.998	7.401	r	1	1359	vowcon_repeat
201.499	7.9	f	1	1538	vowcon_repeat
209.501	4.398	i	1	1013	upplow_switch
214.003	5.896	m	1	1090	vowcon_switch
220.004	6.395	u	1	1364	vowcon_repeat
226.506	3.393	I	1	1645	vowcon_repeat
230.007	5.892	e	1	1475	vowcon_repeat
236.009	4.89	+	NA	0	_fix
241.01	6.389	a	1	1158	upplow_switch
247.512	6.387	I	0	1032	upplow_repeat
253.998	9.401	r	1	1594	vowcon_switch
263.5	7.399	r	1	1727	upplow_switch
271.002	6.897	f	1	1627	upplow_repeat
278.004	5.895	u	1	1529	vowcon_switch
284.006	6.893	m	1	1384	upplow_switch
291.008	5.391	r	1	1253	upplow_repeat
296.51	5.389	F	1	1589	vowcon_switch
302.011	5.388	R	1	1230	upplow_switch
307.513	8.886	u	1	1093	upplow_repeat
316.499	6.4	a	1	1435	upplow_repeat
323	6.399	e	1	1563	vowcon_switch
329.502	5.897	m	1	1153	vowcon_repeat
335.504	3.895	E	1	1498	upplow_switch
339.505	7.394	+	NA	0	_fix
347.007	7.892	A	1	1448	upplow_repeat
355.01	7.389	E	1	1249	upplow_repeat
362.512	8.887	r	1	1402	vowcon_switch
371.498	5.901	i	1	1135	upplow_switch
377.499	3.9	f	1	1113	upplow_repeat
381.501	4.898	+	NA	0	_fix
386.502	6.897	u	1	1351	upplow_repeat
393.504	6.395	i	1	1263	vowcon_switch
400.006	4.893	R	1	941	vowcon_repeat
405.007	5.392	M	1	1771	upplow_switch
410.509	9.39	t	1	924	upplow_repeat
420.012	8.387	A	1	1304	vowcon_switch
428.498	4.401	+	NA	0	_fix
