onset	duration	value	accuracy	response_time	trial_type
4.004	7.895	E	1	1387	vowcon_na
12.006	7.393	e	1	1097	vowcon_repeat
19.508	6.891	T	0	0	vowcon_repeat
26.51	7.889	a	1	785	vowcon_repeat
34.513	5.886	R	1	901	upplow_switch
40.498	9.401	E	1	796	upplow_repeat
50	6.399	T	1	1454	vowcon_switch
56.502	8.897	A	1	816	vowcon_repeat
65.505	5.894	u	1	1221	upplow_switch
71.506	3.893	U	1	860	vowcon_switch
75.507	6.392	F	1	1091	vowcon_repeat
82.009	4.89	t	1	1404	upplow_switch
87.011	6.888	I	1	922	vowcon_switch
94.013	8.386	U	1	1200	upplow_switch
102.498	5.401	t	1	1091	vowcon_switch
108	6.399	M	1	981	vowcon_repeat
114.502	3.897	R	1	895	upplow_switch
118.503	4.396	M	1	942	upplow_repeat
123.004	4.395	r	1	1024	vowcon_switch
127.505	4.394	T	1	827	upplow_switch
132.006	9.393	e	1	1614	upplow_repeat
141.509	5.89	I	1	1031	upplow_repeat
147.511	5.888	R	1	773	upplow_repeat
153.512	8.887	A	1	900	vowcon_switch
162.498	7.401	R	1	802	upplow_switch
170	5.399	F	1	899	upplow_repeat
175.502	6.397	+	NA	0	_fix
182.004	7.895	a	1	783	upplow_repeat
190.006	5.393	E	1	1797	vowcon_switch
195.508	4.891	r	1	1255	vowcon_repeat
200.509	5.89	f	1	838	vowcon_repeat
206.511	7.388	i	1	964	upplow_switch
214.013	6.886	m	1	886	vowcon_switch
220.998	3.901	u	0	828	vowcon_repeat
224.999	6.9	I	1	875	vowcon_repeat
232.001	7.398	e	1	945	vowcon_repeat
239.503	6.396	+	NA	0	_fix
246.005	8.894	a	1	1029	upplow_switch
255.008	3.391	I	1	858	upplow_repeat
258.508	3.391	r	1	894	vowcon_switch
262.009	8.89	r	1	945	upplow_switch
271.012	6.387	f	1	789	upplow_repeat
277.498	6.901	u	1	919	vowcon_switch
284.499	4.9	m	1	894	upplow_switch
289.5	3.399	r	1	797	upplow_repeat
293.001	5.398	F	1	1384	vowcon_switch
298.503	5.896	R	1	842	upplow_switch
304.505	3.894	u	1	840	upplow_repeat
308.506	5.393	a	1	1135	upplow_repeat
314.007	4.392	e	1	1129	vowcon_switch
318.509	5.39	m	1	883	vowcon_repeat
324.01	8.389	E	1	966	upplow_switch
332.512	7.887	+	NA	0	_fix
340.498	6.901	A	1	902	upplow_repeat
347.5	4.899	E	1	1028	upplow_repeat
352.501	6.398	r	1	1011	vowcon_switch
359.003	8.396	i	1	933	upplow_switch
367.506	5.893	f	1	909	upplow_repeat
373.507	8.392	+	NA	0	_fix
382.01	3.389	u	1	837	upplow_repeat
385.511	9.388	i	1	968	vowcon_switch
394.998	6.901	R	1	1489	vowcon_repeat
401.999	6.4	M	1	856	upplow_switch
408.5	9.399	t	1	786	upplow_repeat
418.003	7.396	A	1	1019	vowcon_switch
425.505	7.394	+	NA	0	_fix
