onset	duration	value	accuracy	response_time	trial_type
4.007	4.393	E	1	1649	vowcon_na
8.508	8.892	e	1	1244	vowcon_repeat
17.511	8.389	T	1	1529	vowcon_repeat
26.013	6.387	a	1	1283	vowcon_repeat
32.499	4.401	R	1	2437	upplow_switch
37	4.4	E	1	1255	upplow_repeat
41.501	6.899	T	1	2435	vowcon_switch
48.503	5.397	A	1	1192	vowcon_repeat
54.005	6.895	u	1	2178	upplow_switch
61.007	6.393	U	1	1960	vowcon_switch
67.509	6.891	F	1	2498	vowcon_repeat
74.511	7.389	t	1	1568	upplow_switch
82.013	5.887	I	1	1618	vowcon_switch
87.999	4.901	U	1	1320	upplow_switch
93	7.4	t	1	1407	vowcon_switch
100.502	6.398	M	1	1409	vowcon_repeat
107.004	4.396	R	1	1595	upplow_switch
111.505	7.395	M	1	1198	upplow_repeat
119.007	3.393	r	1	2016	vowcon_switch
122.508	5.392	T	1	1339	upplow_switch
128.01	7.89	e	1	2213	upplow_repeat
136.012	4.888	I	1	1994	upplow_repeat
141.014	7.886	R	1	1569	upplow_repeat
148.999	8.901	A	0	0	vowcon_switch
158.002	5.898	R	0	0	upplow_switch
164.004	3.396	F	1	2426	upplow_repeat
167.505	5.395	+	NA	0	_fix
173.006	6.394	a	1	1848	upplow_repeat
179.508	7.392	E	1	1306	vowcon_switch
187.01	8.39	r	1	1524	vowcon_repeat
195.513	3.887	f	1	1397	vowcon_repeat
199.499	5.901	i	1	1731	upplow_switch
205.499	6.901	m	1	1187	vowcon_switch
212.501	6.399	u	1	1193	vowcon_repeat
219.003	8.397	I	1	1747	vowcon_repeat
227.505	9.395	e	1	1653	vowcon_repeat
237.008	3.892	+	NA	0	_fix
241.009	3.891	a	1	1605	upplow_switch
245.011	5.889	I	1	1578	upplow_repeat
251.012	6.888	r	1	1321	vowcon_switch
257.999	4.901	r	1	1390	upplow_switch
262.999	8.901	f	1	1286	upplow_repeat
272.002	9.398	u	1	1363	vowcon_switch
281.505	5.895	m	0	0	upplow_switch
287.506	8.394	r	1	1323	upplow_repeat
296.009	5.891	F	1	1620	vowcon_switch
302.01	4.89	R	1	1387	upplow_switch
307.012	5.388	u	1	1321	upplow_repeat
312.514	7.386	a	1	1067	upplow_repeat
319.999	6.401	e	1	1166	vowcon_switch
326.501	5.399	m	1	1496	vowcon_repeat
332.003	7.897	E	1	1242	upplow_switch
340.005	9.395	+	NA	0	_fix
349.508	6.392	A	1	1240	upplow_repeat
356.01	3.39	E	1	1242	upplow_repeat
359.511	6.889	r	1	1589	vowcon_switch
366.513	9.387	i	1	1451	upplow_switch
375.999	6.901	f	1	1197	upplow_repeat
383.001	3.399	+	NA	0	_fix
386.502	7.398	u	1	1382	upplow_repeat
394.004	6.396	i	1	1528	vowcon_switch
400.506	5.894	R	1	1490	vowcon_repeat
406.508	7.892	M	1	1920	upplow_switch
414.51	8.89	t	0	0	upplow_repeat
423.513	3.887	A	1	1531	vowcon_switch
427.514	5.386	+	NA	0	_fix
