onset	duration	value	accuracy	response_time	trial_type
6.498	1.8	+	NA	0	ZeroBack_fix
8.314	1.383	M	1	645	ZeroBack_NonTarget
9.714	1.384	X	1	700	ZeroBack_Target
11.115	1.583	N	1	563	ZeroBack_NonTarget
12.715	1.683	V	1	604	ZeroBack_NonTarget
14.416	1.883	F	1	542	ZeroBack_NonTarget
16.316	1.484	D	1	482	ZeroBack_NonTarget
17.817	1.583	X	1	613	ZeroBack_Target
19.417	1.883	W	1	597	ZeroBack_NonTarget
21.318	1.983	N	1	464	ZeroBack_NonTarget
23.318	1.384	X	0	440	ZeroBack_Target
24.719	1.883	Q	0	7	ZeroBack_NonTarget
26.619	1.384	Q	1	699	ZeroBack_NonTarget
28.019	1.984	X	1	603	ZeroBack_Target
30.02	1.684	L	1	522	ZeroBack_NonTarget
31.721	1.483	+	NA	0	ZeroBack_fix
33.221	1.983	F	1	577	ZeroBack_NonTarget
35.222	1.583	Z	1	736	ZeroBack_NonTarget
36.822	1.984	J	1	496	ZeroBack_NonTarget
38.823	1.983	H	1	511	ZeroBack_NonTarget
40.823	1.984	V	1	471	ZeroBack_NonTarget
42.824	1.683	F	1	574	ZeroBack_NonTarget
44.524	1.684	X	0	506	ZeroBack_Target
46.225	1.383	X	1	701	ZeroBack_Target
47.625	1.684	P	1	613	ZeroBack_NonTarget
49.326	1.683	B	1	784	ZeroBack_NonTarget
51.026	1.584	S	1	596	ZeroBack_NonTarget
52.627	1.483	X	1	507	ZeroBack_Target
54.127	1.984	X	1	511	ZeroBack_Target
56.128	1.583	D	1	590	ZeroBack_NonTarget
57.728	1.884	X	1	718	ZeroBack_Target
59.629	1.883	P	1	505	ZeroBack_NonTarget
61.529	1.884	X	1	693	ZeroBack_Target
63.43	1.683	J	1	584	ZeroBack_NonTarget
65.13	1.784	D	1	676	ZeroBack_NonTarget
66.931	1.483	B	1	651	ZeroBack_NonTarget
68.431	1.484	+	NA	0	ZeroBack_fix
69.932	1.883	X	1	466	ZeroBack_Target
71.832	1.584	L	1	566	ZeroBack_NonTarget
73.433	1.983	V	1	509	ZeroBack_NonTarget
75.433	1.584	C	1	501	ZeroBack_NonTarget
77.034	1.583	G	1	564	ZeroBack_NonTarget
78.634	1.784	M	1	676	ZeroBack_NonTarget
80.435	1.783	P	1	459	ZeroBack_NonTarget
82.235	1.484	X	1	483	ZeroBack_Target
83.736	1.583	D	1	566	ZeroBack_NonTarget
85.336	1.484	X	1	686	ZeroBack_Target
86.837	1.683	S	1	489	ZeroBack_NonTarget
88.537	1.384	+	NA	0	ZeroBack_fix
89.937	1.484	J	1	701	ZeroBack_NonTarget
91.438	1.683	X	1	600	ZeroBack_Target
93.138	1.384	B	1	556	ZeroBack_NonTarget
94.539	1.883	X	1	683	ZeroBack_Target
96.439	1.684	R	1	575	ZeroBack_NonTarget
98.14	1.383	R	1	514	ZeroBack_NonTarget
99.54	1.784	+	NA	0	ZeroBack_fix
101.341	1.983	H	1	521	ZeroBack_NonTarget
103.341	1.484	X	1	569	ZeroBack_Target
104.842	1.783	S	1	532	ZeroBack_NonTarget
106.642	1.784	B	1	668	ZeroBack_NonTarget
108.443	1.883	D	1	419	ZeroBack_NonTarget
110.343	1.384	X	1	654	ZeroBack_Target
111.744	1.883	N	1	469	ZeroBack_NonTarget
113.644	1.784	X	1	561	ZeroBack_Target
115.445	1.683	R	1	464	ZeroBack_NonTarget
117.145	1.684	S	1	428	ZeroBack_NonTarget
118.846	1.583	X	0	375	ZeroBack_Target
120.446	1.384	J	1	575	ZeroBack_NonTarget
121.847	1.583	X	1	654	ZeroBack_Target
123.447	1.784	X	1	486	ZeroBack_Target
125.248	1.883	F	1	597	ZeroBack_NonTarget
127.148	1.784	+	NA	0	ZeroBack_fix
128.949	1.983	T	1	712	ZeroBack_NonTarget
130.949	1.984	X	1	712	ZeroBack_Target
132.95	1.583	B	1	487	ZeroBack_NonTarget
134.55	1.884	F	1	575	ZeroBack_NonTarget
136.451	1.583	F	1	450	ZeroBack_NonTarget
138.051	1.484	B	1	450	ZeroBack_NonTarget
139.552	1.683	K	1	541	ZeroBack_NonTarget
141.252	1.984	Q	1	457	ZeroBack_NonTarget
143.253	1.483	T	1	520	ZeroBack_NonTarget
144.753	1.984	X	1	620	ZeroBack_Target
146.754	1.583	X	1	531	ZeroBack_Target
148.354	1.684	W	1	675	ZeroBack_NonTarget
150.055	1.483	+	NA	0	ZeroBack_fix
151.555	1.584	X	1	802	ZeroBack_Target
153.156	1.783	Z	1	561	ZeroBack_NonTarget
154.956	1.384	P	1	497	ZeroBack_NonTarget
156.357	1.783	S	1	496	ZeroBack_NonTarget
158.157	1.884	X	1	824	ZeroBack_Target
160.058	1.783	X	1	627	ZeroBack_Target
161.858	1.384	V	1	523	ZeroBack_NonTarget
163.259	1.383	D	1	578	ZeroBack_NonTarget
164.659	1.684	X	1	506	ZeroBack_Target
166.36	1.783	X	1	557	ZeroBack_Target
168.16	1.484	G	1	421	ZeroBack_NonTarget
169.661	1.783	X	1	608	ZeroBack_Target
171.461	1.684	+	NA	0	ZeroBack_fix
179.147	1.9	+	NA	0	TwoBack_fix
181.064	1.583	V	NA	0	TwoBack_na
182.664	1.684	P	NA	0	TwoBack_na
184.365	1.683	F	1	760	TwoBack_NonTarget
186.065	1.684	P	0	516	TwoBack_Target
187.766	1.383	H	1	663	TwoBack_NonTarget
189.166	1.384	V	1	575	TwoBack_NonTarget
